step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.3,8192,0.00000510,9.8456,9.8379,10.5302
50,5.3,409600,0.00025008,4.9074,4.9251,2.1220
100,10.4,819200,0.00050005,3.8482,3.9395,1.8687
150,15.4,1228800,0.00075003,3.4181,3.4077,1.5895
200,20.5,1638400,0.00100000,3.0746,3.1294,1.7571
250,25.6,2048000,0.00099976,2.9652,2.9276,1.0933
300,30.7,2457600,0.00099904,2.7452,2.8121,0.8944
350,35.8,2867200,0.00099783,2.7562,2.7110,0.9712
400,40.9,3276800,0.00099615,2.5833,2.6227,0.8516
450,46.0,3686400,0.00099399,2.4952,2.5747,0.8958
500,51.1,4096000,0.00099135,2.4253,2.5120,0.8435
550,56.2,4505600,0.00098824,2.4900,2.4566,0.7947
600,61.3,4915200,0.00098467,2.3015,2.4177,0.7466
650,66.4,5324800,0.00098062,2.3776,2.3842,0.7436
700,71.5,5734400,0.00097612,2.3049,2.3388,0.7397
750,76.6,6144000,0.00097116,2.2987,2.3133,0.7520
800,81.7,6553600,0.00096575,2.3108,2.2914,0.7382
850,86.8,6963200,0.00095989,2.3427,2.2786,0.7074
900,91.9,7372800,0.00095359,2.1799,2.2467,0.7627
950,97.0,7782400,0.00094686,2.2719,2.2205,0.7170
1000,102.1,8192000,0.00093971,2.1715,2.1979,0.6947
1050,107.2,8601600,0.00093214,2.2902,2.1904,0.7192
1100,112.3,9011200,0.00092416,2.0717,2.1746,0.6729
1150,117.4,9420800,0.00091578,2.0785,2.1631,0.6728
1200,122.5,9830400,0.00090701,2.0495,2.1459,0.6862
1250,127.6,10240000,0.00089785,2.1835,2.1360,0.6733
1300,132.7,10649600,0.00088833,2.0416,2.1159,0.6847
1350,137.8,11059200,0.00087844,2.0616,2.1034,0.6746
1400,142.9,11468800,0.00086820,2.0762,2.0939,0.7031
1450,148.1,11878400,0.00085762,2.0274,2.0815,0.6986
1500,153.2,12288000,0.00084671,2.0273,2.0724,0.6486
1550,158.3,12697600,0.00083548,2.0693,2.0524,0.6478
1600,163.5,13107200,0.00082394,1.9303,2.0481,0.6991
1650,168.6,13516800,0.00081211,1.9896,2.0247,0.6787
1700,173.7,13926400,0.00080001,2.0213,2.0191,0.6830
1750,178.9,14336000,0.00078763,1.9849,2.0067,0.6677
1800,184.0,14745600,0.00077500,2.0382,2.0029,0.6594
1850,189.1,15155200,0.00076213,1.9752,1.9962,0.6629
1900,194.2,15564800,0.00074903,1.9982,1.9836,0.6657
1950,199.3,15974400,0.00073572,2.0002,1.9659,0.6639
2000,204.4,16384000,0.00072221,1.9224,1.9567,0.6327
2050,209.6,16793600,0.00070851,2.0661,1.9472,0.6189
2100,214.7,17203200,0.00069465,1.9629,1.9371,0.6530
2150,219.8,17612800,0.00068063,1.9678,1.9386,0.6399
2200,224.9,18022400,0.00066647,1.9520,1.9267,0.6448
2250,230.0,18432000,0.00065218,1.9765,1.9106,0.6499
2300,235.1,18841600,0.00063779,1.9541,1.9063,0.6336
2350,240.2,19251200,0.00062330,1.8602,1.9005,0.6516
2400,245.3,19660800,0.00060874,1.8950,1.8941,0.6279
2450,250.4,20070400,0.00059411,1.8587,1.8888,0.6400
2500,255.5,20480000,0.00057943,1.8597,1.8838,0.6330
2550,260.6,20889600,0.00056472,1.8860,1.8731,0.6277
2600,265.7,21299200,0.00055000,1.8114,1.8625,0.6389
2650,270.8,21708800,0.00053528,1.7789,1.8502,0.6087
2700,275.9,22118400,0.00052057,1.7663,1.8452,0.6107
2750,281.0,22528000,0.00050589,1.8186,1.8343,0.6508
2800,286.2,22937600,0.00049126,1.7907,1.8273,0.6813
2850,291.3,23347200,0.00047670,1.8599,1.8255,0.6322
2900,296.4,23756800,0.00046221,1.9415,1.8163,0.6508
2950,301.5,24166400,0.00044782,1.8044,1.8052,0.6268
3000,306.6,24576000,0.00043353,1.7096,1.8028,0.6300
3050,311.6,24985600,0.00041937,1.8140,1.7941,0.6489
3100,316.7,25395200,0.00040535,1.9047,1.7873,0.6596
3150,321.8,25804800,0.00039149,1.7034,1.7831,0.6291
3200,326.9,26214400,0.00037779,1.6689,1.7783,0.6462
3250,332.0,26624000,0.00036428,1.6940,1.7670,0.6357
3300,337.1,27033600,0.00035097,1.6692,1.7625,0.6195
3350,342.2,27443200,0.00033787,1.6945,1.7551,0.6465
3400,347.3,27852800,0.00032500,1.8194,1.7502,0.6605
3450,352.4,28262400,0.00031237,1.6544,1.7464,0.6440
3500,357.5,28672000,0.00029999,1.7195,1.7430,0.6672
3550,362.6,29081600,0.00028789,1.7274,1.7392,0.6583
3600,367.7,29491200,0.00027606,1.7555,1.7283,0.6593
3650,372.8,29900800,0.00026452,1.7375,1.7252,0.6513
3700,377.9,30310400,0.00025329,1.6745,1.7181,0.6502
3750,383.0,30720000,0.00024238,1.6776,1.7154,0.6670
3800,388.1,31129600,0.00023180,1.5601,1.7106,0.6501
3850,393.2,31539200,0.00022156,1.7604,1.7042,0.6768
3900,398.3,31948800,0.00021167,1.6944,1.6996,0.6877
3950,403.4,32358400,0.00020215,1.6474,1.6951,0.6693
4000,408.5,32768000,0.00019299,1.7375,1.6924,0.6848
4050,413.6,33177600,0.00018422,1.7365,1.6860,0.6662
4100,418.7,33587200,0.00017584,1.6393,1.6844,0.6783
4150,423.8,33996800,0.00016786,1.6587,1.6787,0.6759
4200,428.9,34406400,0.00016029,1.8399,1.6759,0.6877
4250,434.0,34816000,0.00015314,1.7088,1.6745,0.6847
4300,439.1,35225600,0.00014641,1.6849,1.6694,0.6842
4350,444.2,35635200,0.00014011,1.6803,1.6672,0.7004
4400,449.3,36044800,0.00013425,1.6237,1.6627,0.6955
4450,454.4,36454400,0.00012884,1.5963,1.6599,0.6698
4500,459.5,36864000,0.00012388,1.6764,1.6568,0.6840
4550,464.7,37273600,0.00011938,1.6822,1.6542,0.6893
4600,469.8,37683200,0.00011533,1.7158,1.6499,0.6899
4650,474.9,38092800,0.00011176,1.6145,1.6492,0.6964
4700,480.1,38502400,0.00010865,1.6108,1.6464,0.7055
4750,485.2,38912000,0.00010601,1.7045,1.6434,0.7121
4800,490.3,39321600,0.00010385,1.6016,1.6433,0.6929
4850,495.4,39731200,0.00010217,1.7258,1.6417,0.7248
4900,500.5,40140800,0.00010096,1.6029,1.6415,0.6897
4950,505.6,40550400,0.00010024,1.6657,1.6393,0.7396
5000,510.7,40960000,0.00010000,1.6662,1.6386,0.7105
