step,grad_norm,step_time
1,10.530151,0.111101
2,11.393235,0.099385
3,11.428288,0.097762
4,9.941352,0.098383
5,9.738828,0.097559
6,8.528656,0.098116
7,8.113752,0.098487
8,7.671034,0.098681
9,7.634109,0.099523
10,8.617881,0.099881
11,6.558665,0.098535
12,6.962926,0.098301
13,6.248378,0.097283
14,6.234271,0.097663
15,5.563011,0.097216
16,5.979625,0.097474
17,5.507142,0.097329
18,5.593501,0.098970
19,6.311619,0.099008
20,8.502197,0.099606
21,5.550269,0.098557
22,5.775599,0.098194
23,6.367392,0.098272
24,6.067372,0.097751
25,7.901548,0.097761
26,6.793701,0.097587
27,6.252500,0.097714
28,5.298521,0.098442
29,4.396600,0.099172
30,4.659293,0.099053
31,3.941016,0.098214
32,4.126096,0.098305
33,5.312708,0.098297
34,7.044588,0.097808
35,3.542139,0.097560
36,3.811714,0.097777
37,4.117367,0.097809
38,3.436255,0.098219
39,4.421459,0.098240
40,3.252999,0.099154
41,3.122366,0.098278
42,2.654018,0.098649
43,2.683516,0.098911
44,2.637872,0.098304
45,3.171460,0.097639
46,3.092771,0.097582
47,2.322279,0.097756
48,2.528370,0.097828
49,2.608191,0.098534
50,2.121975,0.098578
51,2.364908,0.098082
52,2.640077,0.098329
53,2.258894,0.097999
54,2.322734,0.097899
55,2.867858,0.097808
56,2.893588,0.098177
57,2.091411,0.098445
58,2.132354,0.098437
59,1.965076,0.097520
60,2.282063,0.099171
61,1.934840,0.098211
62,1.779382,0.098320
63,2.475833,0.098126
64,1.847609,0.098879
65,2.138616,0.097643
66,2.164399,0.098212
67,2.068971,0.098372
68,1.948467,0.098585
69,2.126041,0.098471
70,2.429158,0.098301
71,2.014841,0.097939
72,1.956265,0.098307
73,1.883445,0.098041
74,2.095281,0.098240
75,1.837645,0.098160
76,1.526717,0.098294
77,1.787168,0.097978
78,2.015955,0.099037
79,1.911420,0.098394
80,1.828433,0.098503
81,1.584498,0.104865
82,2.049948,0.097838
83,1.583095,0.097648
84,1.721935,0.098331
85,1.751659,0.097885
86,1.569467,0.097928
87,1.464794,0.098244
88,1.657827,0.099002
89,1.840878,0.098029
90,1.772883,0.099147
91,1.729503,0.097954
92,1.763062,0.098166
93,1.737466,0.097550
94,2.089542,0.097948
95,1.868630,0.097792
96,1.525415,0.098574
97,1.767231,0.097943
98,1.946620,0.098798
99,1.581921,0.098337
100,1.868732,0.098516
101,1.576397,0.098067
102,1.563326,0.097770
103,1.847229,0.097650
104,1.464834,0.097901
105,1.477130,0.097974
106,1.557688,0.098612
107,1.586088,0.098468
108,1.553514,0.099431
109,3.071837,0.098326
110,1.763710,0.098740
111,1.557984,0.098176
112,1.674000,0.098239
113,1.843956,0.097510
114,1.760408,0.097652
115,1.663538,0.097854
116,1.476305,0.097966
117,2.210045,0.098454
118,1.429575,0.098544
119,1.390218,0.098446
120,1.678159,0.098656
121,1.456789,0.098430
122,1.543017,0.098535
123,1.493545,0.097917
124,1.669832,0.098289
125,1.377435,0.098232
126,2.773051,0.098143
127,1.548784,0.098035
128,1.432703,0.098644
129,1.412827,0.098129
130,1.342752,0.098241
131,1.653188,0.098315
132,1.370767,0.098038
133,1.597373,0.097451
134,4.723228,0.098032
135,2.454538,0.097929
136,1.596661,0.098152
137,1.536602,0.098635
138,1.925197,0.098364
139,1.389641,0.098102
140,1.955101,0.098308
141,1.481402,0.098472
142,1.992078,0.097546
143,1.370356,0.097976
144,1.675160,0.097950
145,1.503031,0.097983
146,2.011183,0.097742
147,1.567713,0.098678
148,1.800227,0.098718
149,1.618060,0.098123
150,1.589533,0.098364
151,1.807067,0.098328
152,1.413752,0.098263
153,1.797188,0.097827
154,1.430048,0.097944
155,1.516853,0.097977
156,1.400739,0.098762
157,1.415213,0.097997
158,1.310398,0.098099
159,1.423704,0.097675
160,1.592541,0.098099
161,1.272435,0.097952
162,1.305200,0.098155
163,1.372859,0.098242
164,1.264515,0.098608
165,1.220248,0.097964
166,1.328049,0.098442
167,1.235194,0.098417
168,1.355933,0.099136
169,1.320704,0.097823
170,1.451698,0.098043
171,1.167912,0.098057
172,1.371567,0.098374
173,1.334142,0.098030
174,1.268439,0.098566
175,1.393752,0.097968
176,1.322484,0.098351
177,2.845522,0.098457
178,1.498434,0.098351
179,1.592614,0.098100
180,1.315427,0.098188
181,1.468417,0.098346
182,1.171705,0.098519
183,1.198067,0.097889
184,1.285064,0.098830
185,1.196118,0.097592
186,1.157488,0.098099
187,1.433457,0.097992
188,1.175832,0.098710
189,1.340080,0.098177
190,1.253325,0.098033
191,1.212857,0.097544
192,1.207736,0.098672
193,1.229859,0.098130
194,1.323318,0.098402
195,1.216555,0.098593
196,1.187549,0.098095
197,1.202624,0.098475
198,1.275080,0.098178
199,1.192195,0.098382
200,1.757058,0.098223
201,1.240805,0.098464
202,1.171017,0.098065
203,1.112097,0.098366
204,1.454103,0.097806
205,1.692585,0.098064
206,1.252159,0.098079
207,2.151786,0.098192
208,1.390310,0.098036
209,1.198304,0.097928
210,1.353476,0.098669
211,1.256319,0.097908
212,1.122387,0.098756
213,1.199721,0.098406
214,1.157265,0.098334
215,1.283902,0.098692
216,1.237923,0.098605
217,1.051924,0.098476
218,1.306141,0.097934
219,1.952859,0.097992
220,1.165942,0.098070
221,1.081096,0.097803
222,1.090941,0.098686
223,1.179162,0.098273
224,1.009907,0.098679
225,1.031787,0.098243
226,1.021776,0.098813
227,1.049630,0.098233
228,1.012747,0.098693
229,1.255597,0.097935
230,1.100053,0.097875
231,1.277982,0.097782
232,0.997906,0.097964
233,1.265118,0.098160
234,1.065673,0.098031
235,1.000932,0.098370
236,1.124176,0.098052
237,1.083584,0.098298
238,1.606275,0.098081
239,1.044421,0.098340
240,1.042737,0.097925
241,1.072938,0.098142
242,1.036446,0.097728
243,1.056870,0.098208
244,1.096839,0.098622
245,0.986070,0.098035
246,1.315748,0.098959
247,0.979604,0.098207
248,1.031515,0.099199
249,1.014064,0.098124
250,1.093291,0.098953
251,1.061734,0.098340
252,0.997943,0.098229
253,1.037969,0.098295
254,1.092811,0.098188
255,1.180648,0.098020
256,1.044459,0.098235
257,1.030342,0.098279
258,0.989069,0.098971
259,0.945204,0.098061
260,0.886699,0.098139
261,1.011787,0.098426
262,0.950868,0.097999
263,1.073015,0.097502
264,0.972549,0.098444
265,1.031329,0.098525
266,1.062537,0.097819
267,3.952370,0.098223
268,1.361493,0.098532
269,2.134406,0.098368
270,1.153012,0.098512
271,1.016998,0.098331
272,1.067183,0.098411
273,1.179910,0.097724
274,1.106696,0.098579
275,1.212621,0.097808
276,1.052173,0.098229
277,0.956852,0.098362
278,1.044038,0.098428
279,0.899354,0.097451
280,0.993094,0.098426
281,0.877097,0.098754
282,0.890892,0.098214
283,0.963359,0.097854
284,0.915068,0.098498
285,1.787702,0.098046
286,1.006769,0.098667
287,0.970109,0.098418
288,0.989184,0.098336
289,0.994460,0.098688
290,0.998667,0.097856
291,0.921905,0.098010
292,0.906486,0.098093
293,0.867071,0.098011
294,0.902295,0.098123
295,0.921298,0.098452
296,0.994772,0.098861
