step,grad_norm,step_time
1,10.530151,0.109043
2,11.382410,0.099313
3,10.627156,0.097904
4,8.680755,0.097877
5,7.949628,0.097168
6,7.617581,0.097476
7,6.455932,0.097876
8,6.056627,0.098509
9,6.165259,0.099470
10,7.233340,0.099200
11,5.533146,0.099350
12,6.445919,0.098208
13,5.919724,0.097974
14,5.815123,0.097264
15,7.835785,0.098065
16,9.201479,0.097155
17,6.214202,0.097622
18,5.670229,0.097726
19,5.059147,0.099770
20,6.276522,0.098586
21,3.988500,0.098733
22,4.664252,0.098760
23,5.831601,0.098006
24,3.643779,0.098135
25,3.436410,0.097624
26,3.137663,0.096802
27,3.444196,0.097791
28,3.617665,0.098558
29,3.042773,0.099440
30,2.603341,0.098982
31,2.822931,0.098665
32,2.604067,0.099202
33,2.421717,0.098109
34,3.070378,0.098419
35,1.966539,0.097685
36,2.123695,0.097929
37,2.166020,0.097581
38,1.827693,0.097798
39,2.271773,0.098216
40,2.102326,0.098381
41,1.793903,0.099295
42,1.795864,0.098409
43,1.891048,0.098332
44,1.712174,0.098691
45,1.960696,0.097146
46,1.691188,0.097753
47,1.954633,0.098258
48,1.495044,0.098440
49,1.602116,0.098310
50,1.508815,0.098202
51,1.644782,0.098709
52,2.019180,0.097841
53,1.547164,0.097757
54,1.898650,0.097752
55,1.590230,0.098083
56,1.549672,0.098636
57,1.464861,0.097982
58,1.446714,0.098668
59,1.464759,0.098349
60,1.559152,0.099633
61,1.589877,0.098392
62,2.622090,0.098626
63,1.666461,0.097370
64,1.447807,0.098590
65,1.271037,0.097442
66,1.843183,0.098646
67,2.058522,0.097417
68,1.536720,0.099119
69,1.431034,0.098064
70,17.466444,0.099321
71,2.403052,0.098324
72,1.925115,0.098711
73,2.182468,0.097442
74,3.049286,0.097913
75,1.585169,0.097221
76,1.853937,0.098787
77,1.394043,0.098014
78,1.581250,0.098798
79,2.223020,0.098192
80,1.766624,0.098806
81,1.337550,0.098318
82,3.497580,0.098399
83,2.051639,0.097963
84,1.837479,0.098103
85,1.497147,0.097905
86,2.640301,0.098006
87,1.680755,0.098203
88,1.411927,0.098600
89,1.327962,0.098178
90,1.662868,0.098676
91,1.739253,0.098345
92,2.154288,0.098494
93,1.673894,0.097999
94,6.962027,0.098230
95,1.983315,0.098010
96,1.235774,0.098564
97,1.519372,0.098222
98,1.944662,0.098820
99,5.805778,0.097963
100,1.856014,0.098805
101,1.613754,0.098503
102,1.158818,0.098803
103,1.613675,0.097811
104,1.214243,0.098690
105,1.111056,0.097799
106,1.772777,0.098292
107,1.620165,0.098279
108,1.067878,0.098328
109,4.633615,0.098197
110,1.417363,0.098145
111,1.498148,0.098603
112,2.745285,0.098287
113,1.785393,0.098393
114,1.906136,0.097804
115,1.735897,0.098491
116,1.408338,0.098023
117,12.082397,0.098938
118,1.949549,0.097932
119,1.265054,0.098588
120,1.206377,0.098641
121,1.394196,0.098295
122,1.128528,0.098199
123,1.326185,0.098441
124,1.827413,0.098171
125,1.178511,0.098111
126,73.473610,0.098194
127,1.878539,0.098547
128,1.180349,0.098580
129,3.968435,0.098254
130,1.732132,0.098998
131,1.321714,0.098221
132,1.194268,0.098771
133,1.233835,0.098367
134,166.604248,0.098258
135,1.961768,0.097666
136,1.289127,0.098196
137,1.577325,0.098178
138,1.171207,0.098425
139,1.442066,0.098254
140,1.162306,0.098248
141,2.679109,0.098781
142,10.758945,0.098652
143,1.477276,0.098051
144,1.580621,0.098380
145,4.947328,0.098014
146,97.644287,0.098384
147,1.911473,0.098523
148,13.437027,0.098235
149,3.884503,0.098107
150,1.417535,0.098521
