step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.3,8192,0.00001530,8.4140,8.4163,1.2892
50,5.7,409600,0.00075023,4.2606,4.2639,0.4395
100,11.2,819200,0.00150015,3.6304,3.7249,0.4791
150,16.7,1228800,0.00225008,3.5136,3.5231,0.5006
200,22.2,1638400,0.00300000,3.3218,3.3785,0.4661
250,27.8,2048000,0.00299928,3.2775,3.2645,0.5154
300,33.3,2457600,0.00299711,3.0516,3.1108,0.4649
350,38.8,2867200,0.00299350,3.0028,2.9762,0.3739
400,44.3,3276800,0.00298845,2.8483,2.8812,0.3730
450,49.8,3686400,0.00298197,2.7215,2.7935,0.3869
500,55.3,4096000,0.00297406,2.6105,2.7178,0.3430
550,60.8,4505600,0.00296473,2.7123,2.6539,0.3393
600,66.3,4915200,0.00295400,2.4588,2.6053,0.3258
650,71.9,5324800,0.00294187,2.5559,2.5662,0.3300
700,77.4,5734400,0.00292836,2.4846,2.5073,0.3041
750,82.9,6144000,0.00291347,2.4683,2.4836,0.3084
800,88.4,6553600,0.00289724,2.4653,2.4457,0.3227
850,93.9,6963200,0.00287967,2.4967,2.4318,0.3155
900,99.4,7372800,0.00286078,2.2957,2.3887,0.2913
950,105.0,7782400,0.00284059,2.4209,2.3675,0.2838
1000,110.5,8192000,0.00281913,2.3184,2.3403,0.2868
1050,116.0,8601600,0.00279642,2.4104,2.3227,0.2921
1100,121.5,9011200,0.00277248,2.2149,2.2920,0.2787
1150,127.0,9420800,0.00274734,2.1965,2.2839,0.2662
1200,132.5,9830400,0.00272103,2.1804,2.2711,0.2662
1250,138.0,10240000,0.00269356,2.3036,2.2583,0.2667
1300,143.5,10649600,0.00266498,2.1693,2.2384,0.2625
1350,149.0,11059200,0.00263532,2.1827,2.2165,0.2793
1400,154.5,11468800,0.00260459,2.1919,2.2053,0.2888
1450,160.0,11878400,0.00257285,2.1355,2.1928,0.2722
1500,165.5,12288000,0.00254012,2.1482,2.1818,0.2467
1550,171.1,12697600,0.00250643,2.1541,2.1680,0.2586
1600,176.6,13107200,0.00247183,2.0295,2.1605,0.2538
1650,182.1,13516800,0.00243634,2.1015,2.1413,0.2651
1700,187.6,13926400,0.00240002,2.1421,2.1358,0.2839
1750,193.1,14336000,0.00236289,2.0803,2.1183,0.2525
1800,198.6,14745600,0.00232500,2.1348,2.1127,0.2510
1850,204.1,15155200,0.00228639,2.0841,2.1042,0.2582
1900,209.6,15564800,0.00224709,2.1154,2.0914,0.2641
1950,215.1,15974400,0.00220715,2.1104,2.0851,0.2584
2000,220.6,16384000,0.00216662,2.0208,2.0715,0.2617
2050,226.1,16793600,0.00212554,2.1789,2.0620,0.2492
2100,231.6,17203200,0.00208394,2.0680,2.0489,0.2706
2150,237.1,17612800,0.00204188,2.0645,2.0448,0.2631
2200,242.6,18022400,0.00199941,2.0683,2.0365,0.2607
2250,248.1,18432000,0.00195655,2.0670,2.0247,0.2591
2300,253.6,18841600,0.00191337,2.0654,2.0149,0.2643
2350,259.1,19251200,0.00186991,1.9753,2.0115,0.2530
2400,264.6,19660800,0.00182621,2.0030,2.0053,0.2701
2450,270.1,20070400,0.00178232,1.9588,2.0036,0.2610
2500,275.7,20480000,0.00173829,1.9547,1.9915,0.2712
2550,281.2,20889600,0.00169417,1.9896,1.9818,0.2620
2600,286.7,21299200,0.00165000,1.8965,1.9759,0.2553
2650,292.2,21708800,0.00160583,1.8933,1.9683,0.2562
2700,297.7,22118400,0.00156171,1.8845,1.9575,0.2495
2750,303.2,22528000,0.00151768,1.9402,1.9438,0.2634
2800,308.7,22937600,0.00147379,1.9066,1.9404,0.2938
2850,314.2,23347200,0.00143009,1.9714,1.9387,0.2816
2900,319.7,23756800,0.00138663,2.0326,1.9327,0.2870
2950,325.2,24166400,0.00134345,1.9090,1.9178,0.2669
3000,330.7,24576000,0.00130059,1.8160,1.9069,0.2577
3050,336.2,24985600,0.00125812,1.9227,1.9039,0.2675
3100,341.7,25395200,0.00121606,2.0159,1.8996,0.2701
3150,347.3,25804800,0.00117446,1.8240,1.8893,0.2613
3200,352.8,26214400,0.00113338,1.7684,1.8843,0.2670
3250,358.3,26624000,0.00109285,1.7925,1.8773,0.2819
3300,363.8,27033600,0.00105291,1.7841,1.8709,0.2783
3350,369.3,27443200,0.00101361,1.8022,1.8678,0.2776
3400,374.8,27852800,0.00097500,1.9233,1.8562,0.2710
3450,380.2,28262400,0.00093711,1.7554,1.8519,0.2774
3500,385.7,28672000,0.00089998,1.8271,1.8484,0.2959
3550,391.2,29081600,0.00086366,1.8299,1.8441,0.2742
3600,396.7,29491200,0.00082817,1.8538,1.8367,0.2717
3650,402.2,29900800,0.00079357,1.8338,1.8318,0.2737
3700,407.7,30310400,0.00075988,1.7620,1.8264,0.3741
3750,413.2,30720000,0.00072715,1.7845,1.8218,0.2878
3800,418.8,31129600,0.00069541,1.6719,1.8207,0.2770
3850,424.2,31539200,0.00066468,1.8471,1.8133,0.3030
3900,429.8,31948800,0.00063502,1.8018,1.8079,0.2853
3950,435.3,32358400,0.00060644,1.7559,1.8030,0.2804
4000,440.8,32768000,0.00057897,1.8415,1.8004,0.2874
4050,446.3,33177600,0.00055266,1.8338,1.7973,0.2807
4100,451.8,33587200,0.00052752,1.7440,1.7904,0.2794
4150,457.3,33996800,0.00050358,1.7666,1.7820,0.2845
4200,462.9,34406400,0.00048087,1.9247,1.7789,0.2950
4250,468.4,34816000,0.00045941,1.7910,1.7786,0.2845
4300,473.9,35225600,0.00043922,1.7792,1.7736,0.2861
4350,479.4,35635200,0.00042033,1.7875,1.7679,0.2892
4400,484.9,36044800,0.00040276,1.7266,1.7653,0.2971
4450,490.5,36454400,0.00038653,1.7030,1.7623,0.2798
4500,496.0,36864000,0.00037164,1.7770,1.7590,0.2832
4550,501.5,37273600,0.00035813,1.7788,1.7558,0.2816
4600,507.1,37683200,0.00034600,1.8098,1.7540,0.3000
4650,512.6,38092800,0.00033527,1.7141,1.7524,0.2881
4700,518.1,38502400,0.00032594,1.7094,1.7486,0.2921
4750,523.6,38912000,0.00031803,1.8022,1.7462,0.2972
4800,529.1,39321600,0.00031155,1.7222,1.7438,0.2930
4850,534.6,39731200,0.00030650,1.8185,1.7436,0.2989
4900,540.1,40140800,0.00030289,1.6948,1.7414,0.2836
4950,545.6,40550400,0.00030072,1.7644,1.7413,0.2954
5000,551.1,40960000,0.00030000,1.7533,1.7393,0.2990
