step,grad_norm,step_time
1,1.289210,0.126980
2,1.298624,0.106576
3,1.290725,0.105343
4,1.208734,0.105090
5,1.309614,0.106086
6,1.330006,0.106129
7,1.341979,0.104666
8,1.380241,0.107535
9,1.511060,0.107425
10,1.569813,0.107079
11,1.683594,0.106964
12,1.816510,0.105600
13,1.927425,0.110962
14,1.884998,0.105996
15,1.932370,0.105018
16,1.923026,0.105377
17,1.763273,0.106058
18,1.670884,0.106787
19,1.737032,0.107087
20,1.599613,0.105564
21,1.564800,0.106582
22,1.496083,0.109609
23,1.296885,0.105643
24,1.139352,0.105572
25,1.035590,0.105338
26,0.958562,0.106092
27,0.984634,0.106774
28,0.829071,0.107325
29,0.671031,0.106470
30,0.725352,0.105180
31,0.516212,0.106614
32,0.564007,0.105883
33,0.518475,0.105225
34,0.547010,0.105314
35,0.541673,0.106340
36,0.501192,0.109568
37,0.481592,0.106033
38,0.488446,0.109974
39,0.481818,0.105825
40,0.553484,0.105374
41,0.447398,0.105926
42,0.519263,0.105357
43,0.467604,0.105698
44,0.440476,0.106900
45,0.466027,0.109120
46,0.422938,0.106452
47,0.480549,0.110666
48,0.468381,0.106200
49,0.493085,0.105825
50,0.439466,0.105878
51,0.436221,0.106740
52,0.610502,0.105393
53,0.503727,0.106076
54,0.440602,0.106786
55,0.468836,0.106458
56,0.472224,0.106614
57,0.455484,0.105893
58,0.586986,0.105922
59,0.457704,0.106753
60,0.492756,0.111464
61,0.523987,0.105508
62,0.473623,0.110838
63,0.441453,0.106188
64,0.424366,0.106342
65,0.456614,0.111259
66,0.496744,0.105448
67,0.520083,0.106259
68,0.507677,0.106422
69,0.446840,0.106352
70,0.628156,0.106381
71,0.428427,0.106875
72,0.581453,0.105006
73,0.453204,0.107477
74,0.487276,0.106328
75,0.449212,0.106573
76,0.442804,0.105861
77,0.420736,0.111228
78,0.423508,0.105747
79,0.474537,0.107563
80,0.505007,0.106024
81,0.460859,0.105692
82,0.546874,0.107521
83,0.437822,0.107087
84,0.461125,0.106393
85,0.485688,0.106939
86,0.473169,0.106138
87,0.535737,0.106647
88,0.477140,0.106690
89,0.474390,0.106797
90,0.467502,0.106065
91,0.495509,0.107132
92,0.476527,0.106207
93,0.515065,0.106969
94,0.526882,0.106404
95,0.505856,0.107151
96,0.536352,0.106386
97,0.593593,0.106650
98,0.461471,0.106430
99,0.533334,0.105819
100,0.479139,0.108486
101,0.458507,0.107129
102,0.493589,0.106039
103,0.466513,0.106700
104,0.441299,0.106593
105,0.440813,0.107360
106,0.479723,0.106495
107,0.492642,0.106401
108,0.447600,0.105892
109,0.458421,0.105963
110,0.473433,0.106652
111,0.408618,0.106198
112,0.447886,0.107201
113,0.475285,0.113521
114,0.454373,0.105786
115,0.417819,0.106278
116,0.477751,0.106412
117,0.481258,0.106550
118,0.533249,0.106350
119,0.482758,0.106410
120,0.500581,0.106870
121,0.485358,0.106995
122,0.441633,0.106374
123,0.489938,0.106209
124,0.432693,0.105985
125,0.456683,0.106264
126,0.453489,0.105957
127,0.509926,0.106159
128,0.501934,0.106560
129,0.538594,0.106911
130,0.511685,0.106545
131,0.439399,0.106948
132,0.453318,0.106383
133,0.467545,0.106154
134,0.467152,0.106271
135,0.476656,0.105576
136,0.529549,0.106256
137,0.477331,0.107067
138,0.474522,0.106592
139,0.485075,0.107075
140,0.503132,0.106203
141,0.587750,0.106580
142,0.482199,0.106463
143,0.493798,0.106429
144,0.451758,0.106034
145,0.529199,0.106118
146,0.479428,0.106728
147,0.466246,0.106549
148,0.516806,0.106514
149,0.557207,0.106578
150,0.500584,0.106909
151,0.523460,0.107095
152,0.467637,0.106048
153,0.566283,0.106742
154,0.480123,0.107055
155,0.518295,0.106516
156,0.471492,0.106688
157,0.474958,0.106818
158,0.485153,0.105826
