step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.3,8192,0.00001530,8.3806,8.3698,2.4474
50,6.1,409600,0.00075023,4.3556,4.3290,0.5249
100,11.9,819200,0.00150015,3.3985,3.5051,0.6052
150,17.8,1228800,0.00225008,3.1156,3.1218,0.6040
200,23.7,1638400,0.00300000,2.8618,2.9257,0.5475
250,29.5,2048000,0.00299928,2.8155,2.7980,0.4903
300,35.4,2457600,0.00299711,2.6620,2.7146,0.4132
350,41.3,2867200,0.00299350,2.6627,2.6235,0.4476
400,47.1,3276800,0.00298845,2.5225,2.5681,0.3921
450,53.0,3686400,0.00298197,2.4071,2.4972,0.3601
500,58.9,4096000,0.00297406,2.3413,2.4336,0.3404
550,64.7,4505600,0.00296473,2.4307,2.3847,0.3539
600,70.6,4915200,0.00295400,2.2270,2.3472,0.3314
650,76.4,5324800,0.00294187,2.2708,2.3107,0.3395
700,82.3,5734400,0.00292836,2.2326,2.2548,0.3267
750,88.2,6144000,0.00291347,2.2337,2.2372,0.3094
800,94.0,6553600,0.00289724,2.2236,2.2123,0.2929
850,99.9,6963200,0.00287967,2.2646,2.2050,0.2848
900,105.8,7372800,0.00286078,2.1096,2.1697,0.3456
950,111.6,7782400,0.00284059,2.1974,2.1461,0.3005
1000,117.5,8192000,0.00281913,2.1027,2.1264,0.2923
1050,123.3,8601600,0.00279642,2.1916,2.1130,0.3059
1100,129.2,9011200,0.00277248,1.9848,2.0948,0.2742
1150,135.1,9420800,0.00274734,1.9784,2.0835,0.2773
1200,140.9,9830400,0.00272103,1.9675,2.0650,0.2661
1250,146.8,10240000,0.00269356,2.0941,2.0600,0.2638
1300,152.7,10649600,0.00266498,1.9783,2.0427,0.2709
1350,158.5,11059200,0.00263532,1.9833,2.0271,0.2674
1400,164.4,11468800,0.00260459,2.0118,2.0186,0.2639
1450,170.3,11878400,0.00257285,1.9392,1.9974,0.2434
1500,176.1,12288000,0.00254012,1.9591,1.9877,0.2551
1550,182.0,12697600,0.00250643,1.9804,1.9758,0.2579
1600,187.8,13107200,0.00247183,1.8500,1.9739,0.2637
1650,193.7,13516800,0.00243634,1.9207,1.9550,0.2410
1700,199.6,13926400,0.00240002,1.9401,1.9456,0.2471
1750,205.4,14336000,0.00236289,1.8911,1.9350,0.2474
1800,211.3,14745600,0.00232500,1.9434,1.9218,0.2450
1850,217.2,15155200,0.00228639,1.8820,1.9243,0.2365
1900,223.0,15564800,0.00224709,1.9431,1.9199,0.2703
1950,228.9,15974400,0.00220715,1.9388,1.9054,0.2514
2000,234.8,16384000,0.00216662,1.8390,1.8894,0.2385
2050,240.6,16793600,0.00212554,1.9885,1.8825,0.2388
2100,246.5,17203200,0.00208394,1.8769,1.8758,0.2537
2150,252.3,17612800,0.00204188,1.9090,1.8739,0.2402
2200,258.2,18022400,0.00199941,1.8777,1.8591,0.2534
2250,264.1,18432000,0.00195655,1.8816,1.8476,0.2449
2300,269.9,18841600,0.00191337,1.8831,1.8413,0.2396
2350,275.8,19251200,0.00186991,1.8077,1.8401,0.2411
2400,281.7,19660800,0.00182621,1.8270,1.8318,0.2608
2450,287.5,20070400,0.00178232,1.8114,1.8288,0.2529
