step,grad_norm,step_time
1,2.447386,0.130896
2,2.452826,0.116475
3,2.433653,0.114663
4,2.305830,0.113910
5,2.335386,0.113850
6,2.325543,0.114662
7,2.208200,0.114788
8,2.159610,0.115892
9,2.131825,0.115811
10,1.970785,0.113607
11,1.949885,0.113573
12,1.831930,0.113206
13,1.836888,0.112317
14,1.751473,0.113881
15,1.763671,0.113896
16,1.754973,0.114232
17,1.603552,0.115053
18,1.467233,0.113905
19,1.466015,0.113568
20,1.267153,0.113422
21,1.204825,0.113909
22,1.084698,0.112839
23,0.918746,0.113130
24,0.839438,0.113867
25,0.815243,0.115090
26,0.724952,0.114204
27,0.769322,0.113951
28,0.789041,0.113845
29,0.701215,0.114034
30,0.764572,0.113860
31,1.013985,0.112890
32,0.789867,0.113328
33,0.740205,0.114275
34,1.149695,0.114244
35,0.590523,0.114349
36,0.917269,0.113824
37,0.677486,0.113529
38,0.506021,0.113561
39,0.884469,0.113317
40,0.536315,0.113302
41,0.624455,0.113934
42,0.653242,0.114364
43,0.445484,0.114536
44,0.597051,0.114092
45,0.550771,0.113477
46,0.498953,0.113638
47,0.607774,0.113220
48,0.645225,0.113237
49,0.495158,0.113523
50,0.524928,0.114309
51,0.463453,0.115070
52,0.796376,0.113647
53,1.095955,0.112905
54,0.926337,0.113260
55,0.638047,0.113233
56,0.721934,0.113676
57,0.557517,0.114738
58,0.736481,0.114237
59,0.616729,0.114410
60,0.594901,0.114702
61,0.502872,0.113594
62,0.609536,0.112770
63,0.576453,0.113135
64,0.513832,0.114554
65,0.663166,0.115036
66,0.598395,0.114029
67,0.543310,0.114169
68,0.647430,0.114872
69,0.504557,0.113942
70,0.565748,0.113047
71,0.642289,0.113055
72,0.678916,0.114166
73,0.689705,0.114225
74,0.528771,0.113910
75,0.528403,0.114078
76,0.726953,0.114191
77,0.606110,0.114185
78,0.557903,0.113710
79,0.498063,0.113507
80,0.498554,0.113532
81,0.540114,0.113814
82,0.575680,0.114236
83,0.480320,0.114342
84,0.498649,0.113912
85,0.610471,0.113858
86,0.928895,0.114633
87,1.053676,0.113343
88,0.537308,0.112975
89,0.845834,0.113418
90,0.929256,0.114106
91,0.732260,0.113968
92,0.820981,0.113886
93,0.722269,0.114289
94,0.823226,0.114376
95,0.739824,0.114060
96,0.595154,0.112918
97,0.577388,0.112792
98,0.682413,0.113478
99,0.745758,0.114599
100,0.605211,0.114782
101,0.565439,0.115747
102,0.616854,0.113855
103,0.662369,0.113148
104,0.622435,0.113181
105,0.705956,0.112608
106,0.500634,0.113515
107,0.565116,0.114315
108,0.557285,0.114001
109,0.531508,0.114251
110,0.601639,0.114393
111,0.497697,0.114068
112,0.623222,0.113293
113,0.532524,0.113075
114,0.619815,0.113514
115,0.801252,0.114128
116,0.847755,0.114371
117,0.672017,0.114271
118,0.704426,0.114331
119,0.623240,0.114355
120,0.531208,0.113458
121,0.693608,0.112801
122,0.605337,0.113331
123,0.766359,0.113091
124,0.826584,0.114091
125,0.689266,0.113981
126,0.728344,0.114770
127,0.586579,0.113834
128,0.636524,0.113897
129,0.602130,0.113486
130,0.634665,0.113487
131,0.592876,0.112599
132,0.607095,0.113368
133,0.559840,0.114323
134,0.614240,0.114069
135,0.681666,0.113997
136,0.567992,0.114638
137,0.657848,0.114124
138,0.655583,0.113267
139,0.787040,0.112967
140,0.706210,0.113678
141,0.580642,0.113471
142,0.635161,0.113704
143,0.600065,0.114405
144,0.528231,0.114391
145,0.563942,0.113927
146,0.665881,0.113413
147,0.808462,0.113398
148,0.668796,0.113462
149,0.640021,0.113695
150,0.603958,0.114381
151,0.664390,0.115105
152,0.565058,0.113640
153,0.582937,0.113588
154,0.500106,0.113453
155,0.508249,0.113494
156,0.543478,0.113680
157,0.535166,0.113866
158,0.536198,0.113801
159,0.648428,0.114286
160,0.641518,0.113735
161,0.537194,0.114094
162,0.716363,0.114489
163,1.037674,0.113062
164,0.875428,0.113173
165,0.551584,0.113622
166,0.563203,0.114141
167,0.760117,0.114122
168,0.779009,0.113545
169,0.588575,0.114335
170,0.623965,0.113969
171,0.743522,0.113846
172,0.509677,0.113337
173,0.551979,0.113082
174,0.533051,0.113282
175,0.473032,0.114314
176,0.797845,0.114211
177,1.057492,0.113999
178,0.826398,0.114264
179,0.617495,0.113494
