step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.6,8192,0.00001530,8.4187,8.4215,1.2942
50,6.6,409600,0.00075023,4.2184,4.2136,0.4930
100,12.7,819200,0.00150015,3.3241,3.4166,0.4901
150,18.9,1228800,0.00225008,3.0531,3.0386,0.4608
200,25.0,1638400,0.00300000,2.8285,2.8812,0.4415
250,31.1,2048000,0.00299928,2.7653,2.7640,0.3801
300,37.3,2457600,0.00299711,2.6142,2.6768,0.3674
350,43.4,2867200,0.00299350,2.6341,2.5968,0.3789
400,49.5,3276800,0.00298845,2.4800,2.5341,0.3561
450,55.6,3686400,0.00298197,2.3921,2.4772,0.3474
500,61.7,4096000,0.00297406,2.3219,2.4330,0.3079
550,67.9,4505600,0.00296473,2.4381,2.3768,0.3111
600,74.0,4915200,0.00295400,2.2188,2.3452,0.2848
650,80.1,5324800,0.00294187,2.2983,2.3178,0.2838
700,86.2,5734400,0.00292836,2.2325,2.2760,0.2755
750,92.4,6144000,0.00291347,2.2564,2.2556,0.2683
800,98.5,6553600,0.00289724,2.2468,2.2283,0.2838
850,104.6,6963200,0.00287967,2.2652,2.2246,0.2636
900,110.7,7372800,0.00286078,2.1163,2.1931,0.2898
950,116.8,7782400,0.00284059,2.2203,2.1730,0.2610
1000,123.0,8192000,0.00281913,2.1152,2.1579,0.2540
1050,129.1,8601600,0.00279642,2.2325,2.1377,0.2627
1100,135.2,9011200,0.00277248,2.0168,2.1171,0.2416
1150,141.3,9420800,0.00274734,2.0118,2.1131,0.2487
1200,147.4,9830400,0.00272103,1.9987,2.0938,0.2557
1250,153.6,10240000,0.00269356,2.1127,2.0862,0.2725
1300,159.7,10649600,0.00266498,1.9988,2.0722,0.2510
1350,165.8,11059200,0.00263532,2.0132,2.0601,0.2493
1400,171.9,11468800,0.00260459,2.0399,2.0443,0.2692
1450,178.1,11878400,0.00257285,1.9527,2.0297,0.2555
1500,184.2,12288000,0.00254012,1.9861,2.0197,0.2394
1550,190.3,12697600,0.00250643,1.9953,2.0102,0.2317
1600,196.4,13107200,0.00247183,1.8772,1.9978,0.2259
1650,202.6,13516800,0.00243634,1.9479,1.9915,0.2472
1700,208.7,13926400,0.00240002,1.9622,1.9840,0.2655
1750,214.8,14336000,0.00236289,1.9227,1.9623,0.2444
1800,220.9,14745600,0.00232500,1.9941,1.9649,0.2308
1850,227.1,15155200,0.00228639,1.9313,1.9560,0.2404
1900,233.2,15564800,0.00224709,1.9612,1.9431,0.2497
1950,239.3,15974400,0.00220715,1.9645,1.9341,0.2362
2000,245.4,16384000,0.00216662,1.8665,1.9229,0.2319
2050,251.9,16793600,0.00212554,2.0264,1.9131,0.2307
2100,258.3,17203200,0.00208394,1.9024,1.9047,0.2329
2150,264.7,17612800,0.00204188,1.9116,1.9008,0.2332
2200,271.1,18022400,0.00199941,1.8960,1.8880,0.2399
2250,277.5,18432000,0.00195655,1.9240,1.8730,0.2319
2300,284.0,18841600,0.00191337,1.9165,1.8645,0.2345
2350,290.4,19251200,0.00186991,1.8251,1.8647,0.2363
2400,296.7,19660800,0.00182621,1.8603,1.8577,0.2433
2450,303.0,20070400,0.00178232,1.8433,1.8530,0.2425
2500,309.4,20480000,0.00173829,1.8160,1.8456,0.2396
2550,315.7,20889600,0.00169417,1.8423,1.8410,0.2453
2600,322.0,21299200,0.00165000,1.7616,1.8326,0.2320
2650,328.4,21708800,0.00160583,1.7469,1.8261,0.2353
2700,334.7,22118400,0.00156171,1.7418,1.8170,0.2327
2750,341.0,22528000,0.00151768,1.8021,1.8098,0.2499
2800,347.4,22937600,0.00147379,1.7617,1.8042,0.2737
2850,353.8,23347200,0.00143009,1.8408,1.8029,0.2470
2900,360.3,23756800,0.00138663,1.8963,1.7953,0.2567
2950,366.9,24166400,0.00134345,1.7703,1.7875,0.2441
3000,373.3,24576000,0.00130059,1.6860,1.7794,0.2403
3050,379.8,24985600,0.00125812,1.7845,1.7742,0.2471
3100,386.1,25395200,0.00121606,1.8626,1.7647,0.2546
3150,392.6,25804800,0.00117446,1.6787,1.7593,0.2383
3200,398.9,26214400,0.00113338,1.6413,1.7545,0.2481
3250,405.3,26624000,0.00109285,1.6651,1.7472,0.2420
3300,411.7,27033600,0.00105291,1.6546,1.7377,0.2379
3350,418.1,27443200,0.00101361,1.6640,1.7334,0.2450
3400,424.4,27852800,0.00097500,1.7863,1.7304,0.2556
3450,430.8,28262400,0.00093711,1.6088,1.7271,0.2466
3500,437.2,28672000,0.00089998,1.6774,1.7167,0.2566
3550,443.7,29081600,0.00086366,1.7075,1.7125,0.2569
3600,450.0,29491200,0.00082817,1.7232,1.7058,0.2474
3650,456.4,29900800,0.00079357,1.7028,1.7015,0.2486
3700,462.8,30310400,0.00075988,1.6330,1.6981,0.2546
3750,469.1,30720000,0.00072715,1.6530,1.6931,0.2568
3800,475.4,31129600,0.00069541,1.5436,1.6895,0.2560
3850,481.7,31539200,0.00066468,1.7330,1.6839,0.2619
3900,488.1,31948800,0.00063502,1.6710,1.6779,0.2590
3950,494.4,32358400,0.00060644,1.6205,1.6747,0.2603
4000,500.8,32768000,0.00057897,1.7247,1.6708,0.2643
4050,507.5,33177600,0.00055266,1.7098,1.6682,0.2581
4100,514.3,33587200,0.00052752,1.6014,1.6625,0.2615
4150,520.7,33996800,0.00050358,1.6242,1.6540,0.2633
4200,527.1,34406400,0.00048087,1.8021,1.6528,0.2733
4250,533.4,34816000,0.00045941,1.6776,1.6505,0.2687
4300,539.8,35225600,0.00043922,1.6505,1.6466,0.2602
4350,546.2,35635200,0.00042033,1.6501,1.6430,0.2748
4400,552.5,36044800,0.00040276,1.6100,1.6381,0.2695
4450,558.8,36454400,0.00038653,1.5643,1.6369,0.2600
4500,565.2,36864000,0.00037164,1.6524,1.6323,0.2621
4550,571.6,37273600,0.00035813,1.6601,1.6300,0.2627
4600,578.1,37683200,0.00034600,1.6850,1.6273,0.2700
4650,584.4,38092800,0.00033527,1.5978,1.6258,0.2702
4700,590.8,38502400,0.00032594,1.5778,1.6228,0.2698
4750,597.1,38912000,0.00031803,1.6722,1.6179,0.2732
4800,603.6,39321600,0.00031155,1.6044,1.6173,0.2696
4850,609.9,39731200,0.00030650,1.6979,1.6163,0.2786
4900,616.2,40140800,0.00030289,1.5686,1.6151,0.2605
4950,622.6,40550400,0.00030072,1.6290,1.6154,0.2785
5000,628.9,40960000,0.00030000,1.6251,1.6140,0.2765
