step,grad_norm,step_time
1,1.294182,0.419308
2,1.302665,0.118341
3,1.293247,0.117393
4,1.216705,0.117449
5,1.311256,0.121690
6,1.332290,0.117725
7,1.345840,0.117358
8,1.386748,0.117998
9,1.514410,0.119838
10,1.574374,0.118290
11,1.682745,0.117828
12,1.813182,0.117549
13,1.924355,0.118355
14,1.883363,0.118434
15,1.931950,0.117698
16,1.922329,0.118586
17,1.765015,0.120856
18,1.674154,0.120102
19,1.741315,0.119495
20,1.599644,0.121010
21,1.565326,0.120479
22,1.497631,0.120827
23,1.295774,0.120717
24,1.137492,0.121465
25,1.029727,0.122459
26,0.943869,0.120738
27,0.983534,0.122209
28,0.854193,0.119771
29,0.689785,0.119886
30,0.731607,0.119329
31,0.526989,0.118322
32,0.561840,0.118216
33,0.536885,0.118466
34,0.534445,0.118342
35,0.539546,0.118697
36,0.477596,0.117734
37,0.476760,0.118224
38,0.474390,0.118489
39,0.467129,0.118564
40,0.577369,0.118158
41,0.434908,0.118662
42,0.553887,0.118766
43,0.461980,0.118431
44,0.458069,0.117480
45,0.503917,0.117017
46,0.417219,0.118840
47,0.546317,0.119069
48,0.459888,0.118548
49,0.507282,0.118223
50,0.493042,0.118028
51,0.419014,0.117774
52,0.529473,0.117550
53,0.591789,0.118506
54,0.514125,0.118603
55,0.478107,0.118878
56,0.407320,0.118278
57,0.424233,0.117820
58,0.539620,0.118477
59,0.522060,0.118851
60,0.467458,0.118459
61,0.449553,0.118480
62,0.501594,0.117294
63,0.456591,0.119991
64,0.571214,0.118701
65,0.483472,0.117950
66,0.564268,0.118334
67,0.514296,0.118464
68,0.477764,0.118608
69,0.504893,0.118570
70,0.449541,0.118125
71,0.408826,0.118400
72,0.490017,0.118468
73,0.395283,0.117949
74,0.444762,0.118262
75,0.417053,0.118539
76,0.433658,0.118071
77,0.438295,0.118174
78,0.467985,0.118110
79,0.460999,0.118578
80,0.507194,0.117878
81,0.803472,0.118017
82,0.446330,0.118250
83,0.677134,0.118540
84,0.453130,0.118837
85,0.493425,0.118199
86,0.471450,0.118380
87,0.552482,0.118456
88,0.456177,0.117962
89,0.489211,0.117777
90,0.480029,0.118522
91,0.568077,0.118879
92,0.445166,0.118416
93,0.529285,0.118141
94,0.512982,0.117218
95,0.565092,0.119270
96,0.425376,0.119576
97,0.499973,0.118308
98,0.535426,0.118005
99,0.556140,0.118152
100,0.490071,0.118586
101,0.433070,0.118453
102,0.504761,0.118776
103,0.493785,0.119485
104,0.473915,0.118828
105,0.473487,0.118416
106,0.476741,0.118259
107,0.477288,0.118294
108,0.466912,0.118244
109,0.458872,0.118631
110,0.508129,0.118066
111,0.532579,0.118722
112,0.498862,0.118433
113,0.503881,0.118535
114,0.531785,0.118481
115,0.461505,0.118094
