step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.3,8192,0.00001530,8.4187,8.4215,1.2942
50,6.3,409600,0.00075023,4.2184,4.2136,0.4930
100,12.4,819200,0.00150015,3.3241,3.4166,0.4901
150,18.5,1228800,0.00225008,3.0531,3.0386,0.4608
200,24.6,1638400,0.00300000,2.8285,2.8812,0.4415
250,30.8,2048000,0.00299996,2.7650,2.7639,0.3803
300,36.9,2457600,0.00299983,2.6143,2.6771,0.3673
350,43.0,2867200,0.00299962,2.6347,2.5973,0.3764
400,49.1,3276800,0.00299932,2.4821,2.5359,0.3504
450,55.3,3686400,0.00299894,2.3903,2.4770,0.3405
500,61.4,4096000,0.00299847,2.3256,2.4358,0.3081
550,67.5,4505600,0.00299792,2.4364,2.3789,0.3124
600,73.6,4915200,0.00299728,2.2287,2.3508,0.2884
650,79.7,5324800,0.00299656,2.3082,2.3224,0.2827
700,85.9,5734400,0.00299575,2.2378,2.2874,0.2761
750,92.0,6144000,0.00299486,2.2640,2.2605,0.2708
800,98.1,6553600,0.00299389,2.2513,2.2362,0.2885
850,104.2,6963200,0.00299283,2.2808,2.2331,0.2576
900,110.4,7372800,0.00299168,2.1238,2.2018,0.2820
950,116.5,7782400,0.00299045,2.2226,2.1810,0.2578
1000,122.6,8192000,0.00298914,2.1338,2.1645,0.2534
1050,128.7,8601600,0.00298774,2.2446,2.1464,0.2578
1100,134.8,9011200,0.00298626,2.0220,2.1259,0.2390
1150,141.0,9420800,0.00298469,2.0256,2.1256,0.2451
1200,147.1,9830400,0.00298304,2.0189,2.1077,0.2489
1250,153.2,10240000,0.00298131,2.1312,2.1015,0.2660
1300,159.3,10649600,0.00297949,2.0189,2.0885,0.2456
1350,165.5,11059200,0.00297759,2.0381,2.0750,0.2387
1400,171.6,11468800,0.00297560,2.0651,2.0661,0.2674
1450,177.7,11878400,0.00297354,1.9778,2.0533,0.2368
1500,183.8,12288000,0.00297138,2.0109,2.0470,0.2322
1550,190.0,12697600,0.00296915,2.0304,2.0321,0.2247
1600,196.1,13107200,0.00296683,1.8988,2.0251,0.2251
1650,202.2,13516800,0.00296443,1.9735,2.0197,0.2305
1700,208.4,13926400,0.00296195,1.9976,2.0119,0.2408
1750,214.5,14336000,0.00295938,1.9648,1.9970,0.2346
1800,220.6,14745600,0.00295673,2.0269,1.9980,0.2254
1850,226.7,15155200,0.00295400,1.9653,1.9912,0.2263
1900,232.9,15564800,0.00295119,2.0069,1.9802,0.2293
1950,239.0,15974400,0.00294829,2.0128,1.9778,0.2256
2000,245.1,16384000,0.00294532,1.9039,1.9633,0.2177
2050,251.4,16793600,0.00294226,2.0823,1.9571,0.2184
2100,257.5,17203200,0.00293912,1.9572,1.9581,0.2314
2150,263.6,17612800,0.00293590,1.9673,1.9545,0.2355
2200,269.7,18022400,0.00293260,1.9438,1.9404,0.2290
2250,275.9,18432000,0.00292921,1.9910,1.9314,0.2235
2300,282.0,18841600,0.00292575,1.9753,1.9239,0.2203
2350,288.1,19251200,0.00292221,1.8947,1.9244,0.2139
2400,294.2,19660800,0.00291859,1.9172,1.9234,0.2203
2450,300.3,20070400,0.00291488,1.9023,1.9194,0.2210
2500,306.5,20480000,0.00291110,1.8777,1.9176,0.2231
2550,312.6,20889600,0.00290724,1.9266,1.9124,0.2259
2600,318.7,21299200,0.00290330,1.8356,1.9133,0.2118
2650,324.8,21708800,0.00289928,1.8164,1.9034,0.2203
2700,331.0,22118400,0.00289518,1.8224,1.8926,0.2101
2750,337.1,22528000,0.00289100,1.8810,1.8927,0.2243
2800,343.2,22937600,0.00288675,1.8391,1.8899,0.2270
2850,349.3,23347200,0.00288241,1.9306,1.8948,0.2184
2900,355.5,23756800,0.00287800,1.9837,1.8850,0.2336
2950,361.6,24166400,0.00287352,1.8623,1.8774,0.2231
3000,367.7,24576000,0.00286895,1.7827,1.8724,0.2073
3050,373.8,24985600,0.00286431,1.8787,1.8675,0.2265
3100,380.0,25395200,0.00285959,1.9651,1.8654,0.2342
3150,386.1,25804800,0.00285480,1.7778,1.8568,0.2158
3200,392.2,26214400,0.00284993,1.7565,1.8674,0.2159
3250,398.3,26624000,0.00284498,1.7725,1.8499,0.2200
3300,404.5,27033600,0.00283996,1.7517,1.8525,0.1988
3350,410.6,27443200,0.00283487,1.7868,1.8518,0.2222
3400,416.7,27852800,0.00282970,1.9088,1.8495,0.2379
3450,422.9,28262400,0.00282445,1.7521,1.8481,0.2214
3500,429.0,28672000,0.00281913,1.8295,1.8448,0.2428
3550,435.2,29081600,0.00281374,1.8314,1.8387,0.2212
3600,441.3,29491200,0.00280828,1.8581,1.8289,0.2245
3650,447.4,29900800,0.00280274,1.8365,1.8370,0.2281
3700,453.5,30310400,0.00279713,1.7631,1.8290,0.2241
3750,459.7,30720000,0.00279145,1.7949,1.8235,0.2268
3800,465.8,31129600,0.00278569,1.6884,1.8275,0.2396
3850,471.9,31539200,0.00277987,1.8861,1.8317,0.2350
3900,478.0,31948800,0.00277397,1.8270,1.8239,0.2260
3950,484.2,32358400,0.00276800,1.7562,1.8199,0.2262
4000,490.3,32768000,0.00276196,1.8739,1.8175,0.2353
4050,496.7,33177600,0.00275586,1.8514,1.8140,0.2169
4100,502.8,33587200,0.00274968,1.7463,1.8088,0.2252
4150,508.9,33996800,0.00274343,1.7888,1.8018,0.2231
