step,grad_norm,step_time
1,1.294182,0.136780
2,1.302665,0.116717
3,1.293247,0.116638
4,1.216705,0.116934
5,1.311256,0.120279
6,1.332290,0.117883
7,1.345840,0.119546
8,1.386748,0.120213
9,1.514410,0.118657
10,1.574374,0.116787
11,1.682745,0.117737
12,1.813182,0.117804
13,1.924355,0.118867
14,1.883363,0.118385
15,1.931950,0.118409
16,1.922329,0.120197
17,1.765015,0.119381
18,1.674154,0.117759
19,1.741315,0.117370
20,1.599644,0.117434
21,1.565326,0.118023
22,1.497631,0.118682
23,1.295774,0.118230
24,1.137492,0.119456
25,1.029727,0.119244
26,0.943869,0.117985
27,0.983534,0.118015
28,0.854193,0.117773
29,0.689785,0.117859
30,0.731607,0.118848
31,0.526989,0.118609
32,0.561840,0.119652
33,0.536885,0.118955
34,0.534445,0.118464
35,0.539546,0.118330
36,0.477596,0.117348
37,0.476760,0.118335
38,0.474390,0.118510
39,0.467129,0.118570
40,0.577369,0.118879
41,0.434908,0.118868
42,0.553887,0.118877
43,0.461980,0.118203
44,0.458069,0.117695
45,0.503917,0.117795
46,0.417219,0.118135
47,0.546317,0.118425
48,0.459888,0.118597
49,0.507282,0.118778
50,0.493042,0.118976
51,0.419014,0.118113
52,0.529473,0.117663
53,0.591789,0.117960
54,0.514125,0.117754
55,0.478107,0.118865
56,0.407320,0.118964
57,0.424233,0.118937
58,0.539620,0.118757
59,0.522060,0.118290
60,0.467458,0.118238
61,0.449553,0.118338
62,0.501594,0.117653
63,0.456591,0.118304
64,0.571214,0.118319
65,0.483472,0.118760
66,0.564268,0.119166
67,0.514296,0.118981
68,0.477764,0.118686
69,0.504893,0.118024
70,0.449541,0.118473
71,0.408826,0.118900
72,0.490017,0.118358
73,0.395283,0.118620
74,0.444762,0.118998
75,0.417053,0.118930
76,0.433658,0.119235
77,0.438295,0.118276
78,0.467985,0.118382
79,0.460999,0.118725
80,0.507194,0.118127
81,0.803472,0.118514
82,0.446330,0.118611
83,0.677134,0.118724
84,0.453130,0.118759
85,0.493425,0.117995
86,0.471450,0.118704
87,0.552482,0.118933
88,0.456177,0.118446
89,0.489211,0.118458
90,0.480029,0.118492
91,0.568077,0.119051
92,0.445166,0.118549
93,0.529285,0.118340
94,0.512982,0.118156
95,0.565092,0.118439
96,0.425376,0.118200
97,0.499973,0.118519
98,0.535426,0.118790
99,0.556140,0.118583
100,0.490071,0.118490
101,0.433070,0.119720
102,0.504761,0.118018
103,0.493785,0.117594
104,0.473915,0.119035
105,0.473487,0.118774
106,0.476741,0.118519
107,0.477288,0.118030
108,0.466912,0.117323
109,0.458872,0.119442
110,0.508129,0.119043
111,0.532579,0.118214
112,0.498862,0.118587
113,0.503881,0.118374
114,0.531785,0.118993
115,0.461505,0.118601
116,0.490693,0.117981
117,0.475748,0.118805
118,0.476719,0.118631
119,0.492562,0.118703
120,0.489842,0.119100
