step,grad_norm,step_time
1,1.294182,0.136709
2,1.302674,0.121658
3,1.293391,0.119460
4,1.216058,0.118500
5,1.307721,0.118421
6,1.317906,0.118666
7,1.313673,0.120887
8,1.320037,0.121079
9,1.398848,0.119254
10,1.411644,0.118888
11,1.476110,0.119008
12,1.595738,0.117952
13,1.712662,0.118411
14,1.726579,0.118789
15,1.875566,0.120246
16,1.994830,0.119583
17,1.916659,0.119912
18,1.862087,0.119506
19,1.945129,0.119695
20,1.798844,0.117979
21,1.785243,0.117366
22,1.721591,0.117623
23,1.630956,0.119646
24,1.550785,0.118461
25,1.512674,0.118739
26,1.443178,0.118524
27,1.437505,0.118483
28,1.308804,0.118763
29,1.150389,0.117582
30,1.151488,0.117951
31,0.958081,0.118239
32,0.918141,0.119453
33,0.878163,0.119489
34,0.742320,0.118526
35,0.692798,0.118687
36,0.581526,0.118792
37,0.562474,0.117754
38,0.501150,0.118029
39,0.509730,0.117983
40,0.478880,0.119184
41,0.468902,0.118470
42,0.444542,0.119118
43,0.424930,0.118945
44,0.417295,0.118105
45,0.448623,0.117385
46,0.424769,0.117216
47,0.471462,0.118006
48,0.438348,0.118802
49,0.439433,0.118644
50,0.446436,0.119395
51,0.421727,0.117775
52,0.537553,0.116990
53,0.610717,0.117760
54,0.444587,0.118341
55,0.493654,0.118572
56,0.497991,0.118813
57,0.434004,0.118575
58,0.664090,0.118397
59,0.543761,0.118572
60,0.487760,0.117749
61,0.522852,0.117791
62,0.519458,0.117942
63,0.593669,0.118558
64,0.432729,0.118645
65,0.598826,0.118617
66,0.459827,0.118782
67,0.624521,0.119206
68,0.484719,0.117936
69,0.566698,0.117918
70,0.516389,0.118031
71,0.575020,0.118523
72,0.490193,0.118873
73,0.507291,0.118359
74,0.453317,0.118594
75,0.482526,0.118379
76,0.493208,0.118524
77,0.459509,0.118883
78,0.525221,0.117858
79,0.430502,0.118675
80,0.674240,0.117849
81,0.473006,0.118356
82,0.609314,0.118858
83,0.460569,0.118631
84,0.457851,0.118259
85,0.460134,0.118048
86,0.476094,0.117888
87,0.464917,0.118075
88,0.479667,0.118201
89,0.436357,0.118172
90,0.477320,0.118735
91,0.606274,0.118973
92,0.497461,0.118436
93,0.601905,0.118223
94,0.506913,0.117946
95,0.582133,0.118492
96,0.453146,0.118164
97,0.599440,0.118283
98,0.494639,0.118333
99,0.482193,0.118361
100,0.430809,0.118849
101,0.454764,0.119461
102,0.498623,0.118558
103,0.519596,0.118412
104,0.421064,0.118260
105,0.523356,0.118867
106,0.472677,0.118769
107,0.501734,0.118748
108,0.480483,0.118183
109,0.451910,0.118462
110,0.545871,0.118864
111,0.407125,0.119086
112,0.490266,0.117966
113,0.452563,0.117886
114,0.488419,0.118386
115,0.486716,0.118747
116,0.445728,0.118613
117,0.507413,0.118425
118,0.442547,0.118800
119,0.481220,0.117670
120,0.448531,0.118605
121,0.480501,0.118380
122,0.437611,0.118129
123,0.487287,0.118692
124,0.449445,0.118131
125,0.421049,0.118481
126,0.459664,0.118763
127,0.450729,0.118522
128,0.456108,0.118427
129,0.461524,0.118097
130,0.440140,0.118231
131,0.432058,0.119016
132,0.459178,0.118495
133,0.483387,0.118436
134,0.481646,0.118556
135,0.435734,0.118847
136,0.445599,0.118315
137,0.424835,0.117959
138,0.458389,0.118094
139,0.444427,0.118833
140,0.444676,0.118136
141,0.425187,0.118385
142,0.455030,0.118416
143,0.419984,0.118441
144,0.421410,0.118035
145,0.457555,0.118030
146,0.432617,0.118055
147,0.433136,0.118804
148,0.438329,0.118452
149,0.476473,0.118434
150,0.454003,0.118629
151,0.455605,0.119324
152,0.465819,0.117464
153,0.495051,0.117856
154,0.486687,0.118640
155,0.471377,0.119096
156,0.503127,0.118077
157,0.485345,0.118554
158,0.531885,0.118282
159,0.483174,0.119109
160,0.489787,0.118745
161,0.467035,0.118204
162,0.513048,0.118071
163,0.442446,0.117931
164,0.532952,0.118550
165,0.477105,0.118590
166,0.535467,0.118346
167,0.449039,0.119396
168,0.479785,0.117833
169,0.454889,0.118558
170,0.546185,0.118599
171,0.436343,0.118729
172,0.486237,0.118008
173,0.438971,0.118110
174,0.457717,0.118471
175,0.456874,0.118740
176,0.426142,0.118168
177,0.433314,0.118042
178,0.488149,0.118035
179,0.457433,0.118411
180,0.484953,0.118594
181,0.466192,0.118323
182,0.467712,0.118363
183,0.467363,0.118494
184,0.433293,0.118235
185,0.515658,0.118504
186,0.456458,0.118663
187,0.429873,0.118389
188,0.441170,0.118305
189,0.417995,0.118254
190,0.425761,0.118009
191,0.438589,0.118276
192,0.419862,0.118439
193,0.427097,0.118238
194,0.426155,0.118461
195,0.460027,0.118525
196,0.451009,0.118542
197,0.439211,0.119057
198,0.415798,0.117871
199,0.420811,0.118293
200,0.450605,0.117732
201,0.421463,0.119720
202,0.437771,0.117938
203,0.444395,0.118970
204,0.453256,0.118984
205,0.436945,0.118158
206,0.508552,0.117822
207,0.490230,0.117535
208,0.527318,0.118534
209,0.449177,0.118849
210,0.563975,0.118278
211,0.455034,0.118577
212,0.443153,0.118560
213,0.479887,0.119563
214,0.451077,0.118767
215,0.430581,0.119498
216,0.427927,0.119154
217,0.430383,0.119787
218,0.433466,0.120287
219,0.448163,0.118987
220,0.454675,0.118702
221,0.424182,0.118549
222,0.458844,0.118242
223,0.475200,0.117770
224,0.430316,0.118024
225,0.447156,0.118070
226,0.436160,0.118170
227,0.481349,0.118435
228,0.450686,0.118467
229,0.492845,0.118511
230,0.445169,0.118445
231,0.451617,0.117937
232,0.462883,0.117959
233,0.418971,0.117742
234,0.486074,0.118154
235,0.407057,0.118297
236,0.457547,0.118407
237,0.436583,0.119040
238,0.447047,0.118946
239,0.440710,0.117920
240,0.424727,0.117911
241,0.440956,0.118067
242,0.443154,0.118405
243,0.457993,0.118152
244,0.466753,0.118099
245,0.467674,0.118475
246,0.445782,0.119194
247,0.430753,0.118460
248,0.465474,0.118176
249,0.420837,0.118127
250,0.497426,0.118068
251,0.423645,0.118942
252,0.445892,0.118494
