step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.6,8192,0.00000101,8.4187,8.4221,1.2942
50,6.5,409600,0.00005001,6.9134,6.8834,1.9221
100,12.6,819200,0.00010000,5.0946,5.1333,0.6963
150,18.7,1228800,0.00009932,4.3829,4.4000,0.5089
200,24.8,1638400,0.00009729,3.9434,4.0552,0.4532
250,30.9,2048000,0.00009397,3.8732,3.8383,0.5277
300,37.0,2457600,0.00008947,3.6254,3.6865,0.5802
350,43.1,2867200,0.00008393,3.6299,3.5664,0.6062
400,49.2,3276800,0.00007750,3.4583,3.4727,0.5455
450,55.3,3686400,0.00007039,3.3417,3.3935,0.6747
500,61.4,4096000,0.00006281,3.2263,3.3304,0.6059
550,67.5,4505600,0.00005500,3.3265,3.2799,0.5997
600,73.6,4915200,0.00004719,3.0959,3.2362,0.6177
650,79.7,5324800,0.00003961,3.1540,3.2041,0.5830
700,85.9,5734400,0.00003250,3.1626,3.1750,0.6079
750,92.0,6144000,0.00002607,3.1665,3.1539,0.6107
800,98.1,6553600,0.00002053,3.1327,3.1351,0.6017
850,104.2,6963200,0.00001603,3.2139,3.1247,0.5907
900,110.3,7372800,0.00001271,3.0202,3.1142,0.6058
950,116.4,7782400,0.00001068,3.1893,3.1072,0.6387
1000,122.5,8192000,0.00001000,3.1392,3.1000,0.6011
