step,grad_norm
1,0.472666
2,0.498241
3,0.473253
4,0.482312
5,0.472857
6,0.496357
7,0.491770
8,0.473027
9,0.474215
10,0.474174
11,0.473140
12,0.478723
13,0.474692
14,0.475022
15,0.475126
16,0.472441
17,0.473301
18,0.473841
19,0.472530
20,0.473682
21,0.471575
22,0.471199
23,0.492231
24,0.473308
25,0.471941
26,0.480734
27,0.472473
28,0.483211
29,0.472545
30,0.472703
31,0.477493
32,0.471222
33,0.474320
34,0.474762
35,0.472469
36,0.472647
37,0.485663
38,0.491534
39,0.471675
40,0.484495
41,0.471931
42,0.472482
43,0.485268
44,0.471716
45,0.472096
46,0.472783
47,0.480930
48,0.503465
49,0.485952
50,0.473142
51,0.471720
52,0.496312
53,0.507490
54,0.489767
55,0.487045
56,0.471346
57,0.471734
58,0.477442
59,0.470877
60,0.475983
61,0.471802
62,0.474714
63,0.472310
64,0.485779
65,0.470784
66,0.470608
67,0.479847
68,0.485146
69,0.472146
70,0.478038
71,0.471972
72,0.470819
73,0.473256
74,0.475642
75,0.472037
76,0.469984
77,0.483695
78,0.473208
79,0.470722
80,0.471196
81,0.503882
1,0.472666
2,0.498241
3,0.473253
4,0.482312
5,0.472857
6,0.496357
7,0.491770
8,0.473027
9,0.474215
10,0.474174
11,0.473140
12,0.478723
13,0.474692
14,0.475022
15,0.475126
16,0.472441
17,0.473301
18,0.473841
19,0.472530
20,0.473682
21,0.471575
22,0.471199
23,0.492231
24,0.473308
25,0.471941
26,0.480734
27,0.472473
28,0.483211
29,0.472545
30,0.472703
31,0.477493
32,0.471222
33,0.474320
34,0.474762
35,0.472469
36,0.472647
37,0.485663
38,0.491534
39,0.471675
40,0.484495
41,0.471931
42,0.472482
43,0.485268
44,0.471716
45,0.472096
46,0.472783
47,0.480930
48,0.503465
49,0.485952
50,0.473142
1,0.472666
51,0.471720
52,0.496312
2,0.498241
3,0.473253
4,0.482312
5,0.472857
6,0.496357
7,0.491770
8,0.473027
9,0.474215
10,0.474174
11,0.473140
12,0.478723
13,0.474692
14,0.475022
15,0.475126
16,0.472441
17,0.473301
18,0.473841
19,0.472530
20,0.473682
21,0.471575
22,0.471199
23,0.492231
24,0.473308
25,0.471941
26,0.480734
27,0.472473
28,0.483211
29,0.472545
30,0.472703
31,0.477493
32,0.471222
33,0.474320
34,0.474762
35,0.472469
36,0.472647
37,0.485663
38,0.491534
39,0.471675
40,0.484495
41,0.471931
42,0.472482
43,0.485268
44,0.471716
45,0.472096
46,0.472783
47,0.480930
48,0.503465
49,0.485952
50,0.473142
