step,grad_norm,step_time
1,1.294182,0.452401
2,1.302665,0.117388
3,1.293270,0.114302
4,1.216753,0.114834
5,1.311345,0.114625
6,1.332591,0.110591
7,1.346336,0.110243
8,1.387921,0.109166
9,1.516466,0.109593
10,1.576910,0.109827
11,1.685627,0.108465
12,1.815554,0.110953
13,1.926133,0.108132
14,1.883937,0.111729
15,1.930919,0.108459
16,1.919928,0.110079
17,1.762139,0.107915
18,1.671771,0.110096
19,1.738075,0.109444
20,1.596699,0.108300
21,1.562556,0.109131
22,1.493117,0.108994
23,1.288145,0.107850
24,1.130918,0.108663
25,1.023469,0.109968
26,0.940074,0.113629
27,0.981164,0.114421
28,0.848266,0.114646
29,0.683974,0.114337
30,0.724841,0.114033
31,0.523443,0.114190
32,0.561931,0.114205
33,0.534838,0.113359
34,0.539518,0.113844
35,0.539556,0.114416
36,0.478088,0.114503
37,0.474451,0.114005
38,0.474453,0.114478
39,0.466650,0.114720
40,0.576073,0.113630
41,0.433574,0.114653
42,0.551568,0.113306
43,0.462069,0.110336
44,0.457217,0.108356
45,0.511986,0.110410
46,0.415716,0.108890
47,0.549442,0.111606
48,0.459646,0.109035
49,0.512945,0.108258
50,0.494292,0.109929
51,0.420873,0.109242
52,0.530005,0.110640
53,0.596596,0.108914
54,0.514447,0.111422
55,0.480047,0.110050
56,0.409774,0.108551
57,0.424096,0.110666
58,0.542191,0.108583
59,0.519812,0.109295
60,0.471711,0.115867
61,0.449078,0.114074
62,0.503782,0.114827
63,0.457658,0.114087
64,0.568856,0.114808
65,0.483292,0.114456
66,0.565917,0.114052
67,0.515005,0.114238
68,0.483524,0.115143
69,0.505121,0.110509
70,0.445421,0.110881
71,0.407718,0.109756
72,0.489684,0.109761
73,0.392046,0.108610
74,0.446209,0.111530
75,0.415381,0.108529
76,0.433791,0.110592
77,0.439312,0.108653
78,0.466483,0.112022
79,0.461505,0.111512
80,0.509614,0.108378
81,0.805863,0.110549
82,0.447319,0.111271
83,0.678011,0.115018
84,0.453728,0.115281
85,0.493265,0.115575
86,0.472527,0.114708
87,0.550465,0.114404
88,0.456670,0.114791
89,0.487894,0.110530
90,0.480061,0.110435
91,0.564584,0.109468
92,0.446755,0.109927
93,0.525211,0.108379
94,0.513860,0.111376
95,0.562035,0.111695
96,0.425705,0.111477
97,0.498433,0.114931
98,0.536957,0.114168
99,0.558926,0.114468
100,0.488809,0.114370
101,0.434941,0.114315
102,0.505909,0.114717
103,0.495215,0.114444
104,0.473043,0.114588
105,0.474771,0.115861
106,0.477828,0.113464
107,0.477756,0.115090
108,0.467619,0.115275
109,0.459695,0.113953
110,0.507722,0.114945
111,0.532478,0.114951
112,0.498612,0.115361
113,0.503716,0.114763
114,0.532506,0.114579
115,0.463599,0.115171
116,0.490458,0.114908
117,0.475201,0.110180
118,0.477449,0.111862
119,0.492636,0.108656
120,0.489695,0.110871
121,0.500168,0.111614
122,0.455237,0.114629
123,0.499164,0.115074
124,0.461253,0.114527
125,0.446911,0.114213
126,0.457686,0.114068
127,0.446057,0.115325
128,0.443829,0.114183
129,0.460314,0.109932
130,0.439319,0.108654
131,0.420795,0.111273
132,0.447866,0.108224
133,0.420752,0.110253
134,0.476190,0.111683
135,0.436469,0.112539
136,0.437371,0.115346
137,0.432740,0.114250
138,0.474364,0.114367
139,0.458411,0.115406
140,0.480757,0.114973
141,0.482733,0.114311
142,0.448361,0.114017
143,0.441682,0.114338
144,0.466243,0.114339
145,0.478057,0.114770
146,0.467721,0.114106
147,0.415047,0.114677
148,0.433739,0.115117
149,0.480659,0.114239
150,0.461627,0.115105
151,0.465013,0.115098
152,0.488470,0.109740
153,0.498905,0.110445
154,0.516130,0.111311
155,0.545637,0.108662
156,0.505144,0.111390
157,0.496368,0.115693
158,0.463722,0.115011
159,0.459982,0.114992
160,0.479676,0.114795
161,0.498187,0.114103
162,0.472834,0.114889
163,0.471139,0.115450
164,0.462602,0.114158
165,0.487706,0.114600
166,0.506856,0.114362
167,0.458419,0.114966
168,0.482933,0.114967
169,0.463757,0.114653
170,0.496892,0.113816
171,0.545631,0.114584
172,0.412731,0.115370
173,0.479844,0.109783
174,0.578887,0.111434
175,0.476533,0.111107
176,0.543729,0.111928
177,0.478939,0.118251
178,0.423001,0.115341
179,0.445867,0.115251
180,0.426903,0.114103
181,0.416255,0.114436
182,0.438619,0.110327
183,0.435558,0.111805
184,0.469816,0.111145
185,0.418962,0.112690
186,0.461712,0.111820
187,0.514278,0.117129
188,0.470056,0.114273
189,0.528859,0.115580
190,0.467734,0.115481
191,0.530454,0.114712
192,0.436928,0.114313
193,0.478150,0.114139
194,0.479592,0.114417
195,0.468195,0.109250
196,0.522109,0.110532
197,0.466098,0.111543
198,0.436987,0.112999
199,0.448570,0.115675
200,0.439054,0.114901
