step,grad_norm,step_time
1,1.293872,0.282044
2,1.302373,0.245417
3,1.293010,0.243395
4,1.216294,0.238868
5,1.310757,0.238384
6,1.331686,0.240808
7,1.345670,0.239557
8,1.387136,0.239260
9,1.515690,0.239078
10,1.576083,0.239875
11,1.685273,0.240609
12,1.815063,0.238970
13,1.926022,0.239064
14,1.883381,0.239598
15,1.930678,0.239793
16,1.919268,0.239867
17,1.761856,0.238893
18,1.671513,0.239175
19,1.737695,0.231065
20,1.596825,0.233498
21,1.562629,0.232425
22,1.492774,0.241131
23,1.287661,0.238808
24,1.130738,0.239572
25,1.023255,0.231211
26,0.940472,0.232649
27,0.981942,0.235185
28,0.847659,0.240045
29,0.684151,0.237494
30,0.725506,0.240509
31,0.522176,0.240602
32,0.561396,0.241907
33,0.534062,0.239496
34,0.539934,0.240592
35,0.539280,0.240448
36,0.478405,0.230148
37,0.473770,0.233855
38,0.474705,0.240916
39,0.466597,0.239635
40,0.576160,0.239981
41,0.432737,0.238818
42,0.550966,0.241527
43,0.465598,0.239917
44,0.454669,0.240156
45,0.513192,0.239217
46,0.416114,0.239956
47,0.548826,0.240911
48,0.460981,0.241487
49,0.510643,0.241191
50,0.494859,0.240098
51,0.420631,0.228728
52,0.528595,0.235761
53,0.593907,0.239870
54,0.515800,0.240427
55,0.479847,0.239561
56,0.409539,0.238873
57,0.423940,0.242049
58,0.545358,0.240175
59,0.522768,0.239447
60,0.473035,0.239447
61,0.449863,0.240686
62,0.503808,0.241071
63,0.459235,0.241095
64,0.570513,0.240818
65,0.479907,0.229585
66,0.569318,0.234610
67,0.512374,0.237478
68,0.489268,0.240684
69,0.500064,0.240515
70,0.439236,0.240094
71,0.407184,0.240871
72,0.485265,0.241940
73,0.389230,0.240201
74,0.446265,0.239590
75,0.412980,0.239577
76,0.433267,0.240353
77,0.437784,0.240807
78,0.463755,0.240563
79,0.463172,0.240397
80,0.510567,0.240928
81,0.818956,0.241069
82,0.450103,0.241549
83,0.683241,0.240748
84,0.453649,0.241495
85,0.495573,0.240767
86,0.473722,0.240481
87,0.550925,0.240675
88,0.456327,0.239723
89,0.487912,0.239913
90,0.481709,0.240287
91,0.560922,0.242731
92,0.446613,0.241074
93,0.522104,0.241392
94,0.514123,0.240115
95,0.560975,0.241968
96,0.424233,0.242525
97,0.497535,0.241229
98,0.535009,0.240272
99,0.555633,0.240099
100,0.488920,0.240075
101,0.432966,0.240926
102,0.504415,0.241498
103,0.496468,0.240273
104,0.472687,0.240909
105,0.476797,0.231056
106,0.478617,0.235846
107,0.478266,0.240282
108,0.468409,0.240689
109,0.458030,0.239637
110,0.509139,0.239642
111,0.531669,0.241077
112,0.497549,0.241134
113,0.505735,0.240360
114,0.532541,0.240397
115,0.461862,0.240279
116,0.493769,0.242674
117,0.476316,0.242028
118,0.476594,0.240531
119,0.493342,0.236818
120,0.489153,0.242085
121,0.499491,0.241774
122,0.455837,0.242397
123,0.498850,0.240105
124,0.461659,0.239921
125,0.446359,0.240441
126,0.459094,0.240595
127,0.446751,0.242023
128,0.444138,0.241206
129,0.460104,0.241107
130,0.440281,0.241603
131,0.420147,0.242623
132,0.447899,0.241600
133,0.419559,0.240997
134,0.477469,0.239427
135,0.437437,0.241178
136,0.436915,0.241005
137,0.432521,0.241336
138,0.474362,0.241246
139,0.460394,0.241485
140,0.480446,0.241879
141,0.484409,0.241711
142,0.448833,0.241678
143,0.442367,0.240656
144,0.465344,0.240720
145,0.478294,0.239562
146,0.467352,0.241087
147,0.415179,0.241869
148,0.433595,0.242653
149,0.479579,0.241427
150,0.462039,0.239573
151,0.464900,0.241648
152,0.488389,0.242128
153,0.497938,0.240664
154,0.516053,0.241108
155,0.544102,0.240713
156,0.506607,0.240901
157,0.496266,0.241073
158,0.463095,0.240512
159,0.461847,0.242069
160,0.480545,0.242068
161,0.498470,0.241914
162,0.473681,0.239661
163,0.471189,0.241326
164,0.462378,0.240819
165,0.489475,0.241150
166,0.507359,0.241360
167,0.457878,0.241305
168,0.483437,0.242187
169,0.464362,0.243032
170,0.499317,0.242045
171,0.546066,0.241632
172,0.411839,0.240881
173,0.479705,0.241831
174,0.577101,0.237208
175,0.476496,0.242024
176,0.543087,0.240548
177,0.478091,0.241252
178,0.422702,0.239854
179,0.446030,0.241591
180,0.426101,0.242171
181,0.416404,0.241756
182,0.438321,0.228158
183,0.436026,0.237609
184,0.469357,0.242307
185,0.418628,0.240205
186,0.461149,0.239997
187,0.513119,0.239234
188,0.468638,0.238645
189,0.529467,0.243965
190,0.468115,0.242068
191,0.530368,0.239710
192,0.436632,0.240445
193,0.476855,0.243706
194,0.480710,0.241543
195,0.467715,0.239889
196,0.522792,0.239794
197,0.465517,0.241391
198,0.438221,0.242875
199,0.450608,0.242721
200,0.439280,0.240932
