step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.3,8192,0.00300000,8.4187,7.0997,1.2942
50,6.2,409600,0.00299584,3.8447,3.8242,0.4366
100,12.3,819200,0.00298338,3.2592,3.3444,0.3591
150,18.4,1228800,0.00296270,3.0309,3.0111,0.3457
200,24.5,1638400,0.00293393,2.7960,2.8363,0.3679
250,30.6,2048000,0.00289724,2.7463,2.7272,0.3187
300,36.7,2457600,0.00285286,2.6029,2.6475,0.2894
350,42.8,2867200,0.00280106,2.6198,2.5792,0.2964
400,48.9,3276800,0.00274217,2.4554,2.5135,0.2940
450,55.0,3686400,0.00267655,2.3705,2.4581,0.2866
500,61.1,4096000,0.00260459,2.3071,2.4090,0.2646
550,67.2,4505600,0.00252675,2.4153,2.3607,0.2724
600,73.3,4915200,0.00244351,2.1951,2.3181,0.2615
650,79.4,5324800,0.00235537,2.2670,2.2874,0.2559
700,85.5,5734400,0.00226289,2.1966,2.2432,0.2582
750,91.6,6144000,0.00216662,2.2070,2.2195,0.2566
800,97.7,6553600,0.00206717,2.1936,2.1806,0.2679
850,103.8,6963200,0.00196515,2.2066,2.1687,0.2543
900,109.9,7372800,0.00186119,2.0423,2.1324,0.2564
950,116.0,7782400,0.00175592,2.1584,2.1121,0.2654
1000,122.1,8192000,0.00165000,2.0631,2.0824,0.2518
1050,128.2,8601600,0.00154408,2.1321,2.0591,0.2587
1100,134.3,9011200,0.00143881,1.9420,2.0342,0.2525
1150,140.4,9420800,0.00133485,1.9288,2.0237,0.2597
1200,146.5,9830400,0.00123283,1.9111,2.0016,0.2457
1250,152.6,10240000,0.00113338,2.0160,1.9819,0.2646
1300,158.7,10649600,0.00103711,1.8837,1.9661,0.2514
1350,164.8,11059200,0.00094463,1.9020,1.9470,0.2554
1400,170.9,11468800,0.00085649,1.9188,1.9284,0.2607
1450,177.0,11878400,0.00077325,1.8516,1.9164,0.2545
1500,183.1,12288000,0.00069541,1.8670,1.8996,0.2532
1550,189.2,12697600,0.00062345,1.8771,1.8849,0.2580
1600,195.3,13107200,0.00055783,1.7452,1.8746,0.2544
1650,201.4,13516800,0.00049894,1.8094,1.8621,0.2559
1700,207.5,13926400,0.00044714,1.8437,1.8534,0.2602
1750,213.7,14336000,0.00040276,1.7925,1.8443,0.2642
1800,219.8,14745600,0.00036607,1.8402,1.8362,0.2623
1850,225.9,15155200,0.00033730,1.7924,1.8300,0.2620
1900,232.0,15564800,0.00031662,1.8388,1.8246,0.2837
1950,238.1,15974400,0.00030416,1.8428,1.8192,0.2658
2000,244.2,16384000,0.00030000,1.7504,1.8141,0.2586
