step,grad_norm,step_time
1,1.294182,0.116893
2,2.590768,0.118008
3,1.746002,0.116541
4,2.022065,0.116442
5,11.589891,0.117042
6,3.217445,0.116938
7,1.365219,0.119469
8,3.309978,0.119071
9,2.765127,0.119282
10,2.028549,0.118680
11,0.900860,0.117311
12,1.307974,0.117172
13,0.828475,0.116726
14,0.857187,0.117436
15,0.774716,0.118264
16,0.730220,0.119246
17,1.175293,0.118497
18,0.809640,0.118688
19,0.723704,0.117428
20,0.686875,0.117319
21,0.708745,0.117624
22,0.918750,0.117050
23,0.814883,0.117788
24,0.577853,0.118866
25,0.672341,0.118657
26,0.507117,0.118572
27,0.495626,0.118050
28,0.558957,0.117556
29,0.532198,0.117015
30,0.628865,0.116741
31,0.502625,0.117301
32,0.645849,0.118694
33,0.480015,0.118697
34,0.522472,0.118911
35,0.680491,0.118328
36,0.447510,0.118222
37,0.531956,0.117917
38,0.458345,0.117373
39,0.531847,0.117334
40,0.450580,0.116838
41,0.424524,0.118480
42,0.498229,0.119973
43,0.397518,0.118149
44,0.450731,0.118519
45,0.420309,0.117395
46,0.393437,0.117963
47,0.460231,0.117590
48,0.435849,0.117703
49,0.410403,0.118147
50,0.436640,0.118901
51,0.423057,0.117314
52,0.553204,0.117922
53,0.635386,0.117332
54,0.467435,0.117782
55,0.541963,0.117522
56,0.444094,0.118283
57,0.457246,0.118657
58,0.445208,0.118249
59,0.559194,0.117867
60,0.352484,0.118154
61,0.489774,0.118044
62,0.426176,0.117548
63,0.450838,0.117890
64,0.439170,0.118048
65,0.401764,0.118501
66,0.379955,0.119031
67,0.428703,0.117757
68,0.398609,0.117920
69,0.412320,0.117156
70,0.449072,0.118003
71,0.473629,0.118395
72,0.396392,0.118266
73,0.374950,0.118519
74,0.427818,0.118141
75,0.413391,0.118139
76,0.401211,0.118075
77,0.447657,0.117326
78,0.390651,0.117113
79,0.398479,0.117525
80,0.446172,0.118492
81,0.411932,0.118529
82,0.488528,0.118459
83,0.457690,0.118186
84,0.442739,0.117993
85,0.391483,0.117658
86,0.423815,0.117506
87,0.486260,0.117471
88,0.392397,0.118400
89,0.427966,0.118464
90,0.400528,0.118159
91,0.544974,0.117955
92,0.391561,0.118247
93,0.501387,0.117983
94,0.443343,0.117686
95,0.445498,0.117825
96,0.378521,0.117912
97,0.464323,0.118680
98,0.435432,0.119097
99,0.381953,0.118119
100,0.359146,0.118176
101,0.352886,0.119066
102,0.402207,0.117856
103,0.415608,0.117711
104,0.335199,0.118750
