step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.3,8192,0.00001530,8.4187,8.4215,1.2942
50,6.2,409600,0.00075023,4.2184,4.2136,0.4930
100,12.2,819200,0.00150015,3.3241,3.4166,0.4901
150,18.3,1228800,0.00225008,3.0531,3.0386,0.4608
200,24.3,1638400,0.00300000,2.8285,2.8812,0.4415
250,30.8,2048000,0.00299486,2.7649,2.7637,0.3796
300,37.4,2457600,0.00297949,2.6137,2.6761,0.3665
350,43.9,2867200,0.00295400,2.6306,2.5950,0.3756
400,50.4,3276800,0.00291859,2.4785,2.5306,0.3594
450,56.8,3686400,0.00287352,2.3835,2.4686,0.3421
500,63.2,4096000,0.00281913,2.3115,2.4218,0.3169
550,69.6,4505600,0.00275586,2.4289,2.3655,0.3121
600,76.0,4915200,0.00268416,2.2022,2.3267,0.2894
650,82.4,5324800,0.00260459,2.2815,2.3289,0.2865
700,88.7,5734400,0.00251776,2.2030,2.2507,0.2799
750,95.1,6144000,0.00242433,2.2181,2.2229,0.2728
800,101.5,6553600,0.00232500,2.2188,2.1914,0.3063
850,107.9,6963200,0.00222053,2.2250,2.1804,0.2829
900,114.2,7372800,0.00211173,2.0636,2.1435,0.2979
950,120.6,7782400,0.00199941,2.1668,2.1165,0.2717
1000,127.0,8192000,0.00188443,2.0597,2.0929,0.2580
1050,133.3,8601600,0.00176766,2.1577,2.0634,0.2821
1100,139.7,9011200,0.00165000,1.9531,2.0407,0.2567
1150,146.0,9420800,0.00153234,1.9328,2.0277,0.2676
1200,152.4,9830400,0.00141557,1.9144,2.0052,0.2545
1250,158.7,10240000,0.00130059,2.0167,1.9889,0.2710
1300,165.1,10649600,0.00118827,1.8878,1.9679,0.2609
1350,171.5,11059200,0.00107947,1.9069,1.9529,0.2604
1400,177.8,11468800,0.00097500,1.9303,1.9327,0.2675
1450,184.3,11878400,0.00087567,1.8448,1.9173,0.2551
1500,190.7,12288000,0.00078224,1.8658,1.8987,0.2648
1550,197.1,12697600,0.00069541,1.8670,1.8829,0.2661
1600,203.6,13107200,0.00061584,1.7483,1.8685,0.2665
1650,210.0,13516800,0.00054414,1.8048,1.8553,0.2659
1700,216.4,13926400,0.00048087,1.8398,1.8458,0.2622
1750,222.8,14336000,0.00042648,1.7942,1.8358,0.2703
1800,229.1,14745600,0.00038141,1.8456,1.8276,0.2687
1850,235.5,15155200,0.00034600,1.7923,1.8212,0.2678
1900,241.8,15564800,0.00032051,1.8344,1.8161,0.2798
1950,248.2,15974400,0.00030514,1.8349,1.8098,0.2671
2000,254.5,16384000,0.00030000,1.7452,1.8057,0.2658
