step,grad_norm,step_time
1,1.294182,0.116301
2,1.302665,0.117071
3,1.293247,0.115623
4,1.216705,0.115300
5,1.311256,0.116064
6,1.332290,0.116296
7,1.345840,0.118578
8,1.386748,0.118657
9,1.514410,0.116937
10,1.574374,0.116668
11,1.682745,0.116029
12,1.813182,0.115888
13,1.924355,0.115862
14,1.883363,0.116516
15,1.931950,0.117564
16,1.922329,0.118506
17,1.765015,0.116974
18,1.674154,0.117199
19,1.741315,0.116556
20,1.599644,0.115948
21,1.565326,0.115631
22,1.497631,0.116828
23,1.295774,0.117245
24,1.137492,0.118256
25,1.029727,0.117200
26,0.943869,0.117471
27,0.983534,0.116678
28,0.854193,0.116412
29,0.689785,0.115454
30,0.731607,0.116704
31,0.526989,0.117090
32,0.561840,0.118026
33,0.536885,0.117531
34,0.534445,0.116628
35,0.539546,0.117100
36,0.477596,0.116977
37,0.476760,0.115839
38,0.474390,0.116611
39,0.467129,0.117354
40,0.577369,0.117491
41,0.434908,0.117585
42,0.553887,0.116917
43,0.461980,0.116674
44,0.458069,0.116836
45,0.503917,0.116235
46,0.417219,0.116034
47,0.546317,0.117210
48,0.459888,0.117837
49,0.507282,0.117151
50,0.493042,0.116797
51,0.419014,0.118507
52,0.529473,0.116112
53,0.591789,0.116320
54,0.514125,0.117023
55,0.478107,0.117960
56,0.407320,0.117307
57,0.424233,0.117406
58,0.539620,0.116999
59,0.522060,0.116860
60,0.467458,0.117020
61,0.449553,0.116132
62,0.501594,0.116405
63,0.456591,0.117412
64,0.571214,0.117449
65,0.483472,0.116495
66,0.564268,0.117002
67,0.514296,0.117214
68,0.477764,0.116936
69,0.504893,0.116481
70,0.449541,0.116321
71,0.408826,0.117344
72,0.490017,0.118186
73,0.395283,0.116886
74,0.444762,0.116991
75,0.417053,0.117286
76,0.433658,0.116890
77,0.438295,0.116439
78,0.467985,0.116493
79,0.460999,0.117213
80,0.507194,0.117700
81,0.803472,0.117205
82,0.446330,0.116323
83,0.677134,0.117397
84,0.453130,0.117502
85,0.493425,0.116649
86,0.471450,0.116605
87,0.552482,0.117247
88,0.456177,0.117513
89,0.489211,0.117699
90,0.480029,0.116769
91,0.568077,0.117072
92,0.445166,0.117447
93,0.529285,0.117041
94,0.512982,0.117111
95,0.565092,0.116218
96,0.425376,0.117069
97,0.499973,0.117698
98,0.535426,0.116861
99,0.556140,0.116792
100,0.490071,0.117716
101,0.433070,0.118222
102,0.504761,0.116842
103,0.493785,0.116843
104,0.473915,0.117150
105,0.473487,0.117035
106,0.476741,0.117541
107,0.477288,0.117541
108,0.466912,0.117488
109,0.458872,0.117442
110,0.508129,0.117192
111,0.532579,0.117219
112,0.498862,0.116469
113,0.503881,0.116772
114,0.531785,0.117485
115,0.461505,0.117708
116,0.490693,0.117259
117,0.475748,0.117266
118,0.476719,0.116590
119,0.492562,0.117399
120,0.489842,0.117085
121,0.499305,0.116462
122,0.457063,0.117092
123,0.498101,0.117543
124,0.462348,0.117474
125,0.445310,0.117707
126,0.459300,0.116740
127,0.446943,0.116831
128,0.445148,0.117154
129,0.458947,0.116997
130,0.440138,0.117042
131,0.419833,0.117154
132,0.447687,0.117529
133,0.421354,0.117652
134,0.477723,0.116803
135,0.436519,0.115936
136,0.438227,0.117259
137,0.432522,0.117220
138,0.473562,0.116796
139,0.457320,0.116680
140,0.480370,0.117487
141,0.481996,0.117775
142,0.449961,0.118124
143,0.441080,0.116666
144,0.467676,0.116972
145,0.479409,0.117141
146,0.467179,0.116753
147,0.413954,0.116737
148,0.434390,0.116964
149,0.478767,0.117807
150,0.460823,0.118016
151,0.463828,0.117722
152,0.485493,0.116633
153,0.497131,0.116505
154,0.515070,0.116137
155,0.545136,0.116597
156,0.506763,0.117761
157,0.497313,0.118238
158,0.462551,0.117814
159,0.460411,0.117301
160,0.479579,0.117217
161,0.501073,0.117582
162,0.476752,0.116539
163,0.473025,0.116580
164,0.465235,0.117357
165,0.487451,0.117993
166,0.509244,0.117183
167,0.457932,0.117215
168,0.484248,0.117218
169,0.465758,0.117635
170,0.500053,0.116987
171,0.548275,0.115923
172,0.412551,0.116881
173,0.479852,0.117755
174,0.575639,0.117538
175,0.476728,0.117305
176,0.544300,0.117078
177,0.476341,0.117738
178,0.421319,0.118035
179,0.445486,0.118109
180,0.426202,0.116988
181,0.416601,0.117377
182,0.439279,0.117456
183,0.436112,0.117540
184,0.469590,0.116925
185,0.420711,0.116825
186,0.459233,0.117460
187,0.514425,0.117238
188,0.465543,0.116773
189,0.529628,0.117214
190,0.467425,0.117393
191,0.532743,0.117514
192,0.436240,0.117368
193,0.481291,0.116214
194,0.475828,0.117192
195,0.470236,0.117532
196,0.521354,0.117012
197,0.465335,0.117331
198,0.438670,0.117406
199,0.447406,0.117657
200,0.441488,0.117857
201,0.426419,0.115445
202,0.457216,0.115904
203,0.425035,0.116053
204,0.493986,0.114939
205,0.456839,0.116118
206,0.446706,0.115750
207,0.507716,0.114826
208,0.420422,0.114919
209,0.475625,0.116173
210,0.469477,0.115433
211,0.474794,0.115756
212,0.429316,0.116473
213,0.451902,0.115948
214,0.439325,0.116016
215,0.421387,0.116070
216,0.446919,0.114783
217,0.409627,0.115760
218,0.437198,0.116289
219,0.420570,0.115903
220,0.432466,0.114539
221,0.433775,0.116386
222,0.433518,0.115716
223,0.467572,0.114928
224,0.400804,0.116936
225,0.395947,0.114631
226,0.410067,0.115451
227,0.449392,0.114705
228,0.428353,0.115668
229,0.499044,0.114912
230,0.419634,0.115473
231,0.462287,0.115834
232,0.431563,0.116001
233,0.434555,0.115100
234,0.425990,0.115515
235,0.449307,0.114630
236,0.442708,0.115837
237,0.425614,0.115959
238,0.395809,0.114088
239,0.428511,0.115138
240,0.399388,0.116645
241,0.403482,0.114944
242,0.407860,0.115224
243,0.388304,0.115918
244,0.398619,0.115984
245,0.394798,0.116209
246,0.419270,0.114197
247,0.420871,0.114989
248,0.411426,0.116762
249,0.397565,0.116419
250,0.379638,0.116358
251,0.413596,0.148125
252,0.421545,0.120173
253,0.414773,0.118820
254,0.464292,0.120548
255,0.403691,0.118928
256,0.384389,0.118891
257,0.392098,0.120742
258,0.436209,0.117712
259,0.426832,0.115958
260,0.380896,0.117109
261,0.412619,0.116854
262,0.376735,0.115070
263,0.388325,0.116193
264,0.389325,0.116013
265,0.387885,0.116682
266,0.391118,0.116002
267,0.387250,0.114938
268,0.382134,0.116539
269,0.390532,0.116284
270,0.410749,0.115159
271,0.399541,0.115241
272,0.415926,0.116090
273,0.423272,0.115079
274,0.395618,0.115691
275,0.464355,0.116930
276,0.385800,0.116965
277,0.408696,0.116503
278,0.390920,0.116673
279,0.386594,0.116926
280,0.382773,0.114663
281,0.383510,0.115194
282,0.424823,0.115455
283,0.409102,0.116858
284,0.427189,0.115594
285,0.389677,0.115233
286,0.427316,0.115402
287,0.412637,0.116595
288,0.396631,0.117248
289,0.411561,0.116059
290,0.382616,0.118390
291,0.398344,0.117637
292,0.368316,0.118820
293,0.384108,0.121781
294,0.360009,0.119380
295,0.366983,0.118616
