step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
1,0.4,8192,0.00001530,7.2575,7.2533,1.4770
50,6.7,409600,0.00075023,3.7635,3.7256,0.5281
100,12.9,819200,0.00150015,3.1531,3.1856,0.4590
150,18.9,1228800,0.00225008,2.7824,2.8256,0.4638
200,25.1,1638400,0.00300000,2.6220,2.5947,0.4159
250,31.2,2048000,0.00299928,2.3916,2.4493,0.4179
300,37.3,2457600,0.00299711,2.2537,2.3192,0.3821
350,43.3,2867200,0.00299350,2.2462,2.2472,0.3559
400,49.3,3276800,0.00298845,2.1730,2.1857,0.3473
450,55.4,3686400,0.00298197,2.1193,2.1208,0.3099
500,61.4,4096000,0.00297406,2.0228,2.0758,0.3029
550,67.4,4505600,0.00296473,2.0202,2.0235,0.2891
600,73.4,4915200,0.00295400,1.9497,1.9891,0.2762
650,79.3,5324800,0.00294187,1.9385,1.9576,0.2871
700,85.3,5734400,0.00292836,1.8796,1.9264,0.2672
750,91.3,6144000,0.00291347,1.8536,1.9042,0.2646
800,97.3,6553600,0.00289724,1.9143,1.8804,0.2516
850,103.3,6963200,0.00287967,1.8486,1.8652,0.2431
900,109.3,7372800,0.00286078,1.8155,1.8395,0.2444
950,115.3,7782400,0.00284059,1.7752,1.8173,0.2379
1000,121.4,8192000,0.00281913,1.7940,1.8044,0.2312
1050,127.4,8601600,0.00279642,1.8544,1.7958,0.2523
1100,133.3,9011200,0.00277248,1.8091,1.7800,0.2358
1150,139.3,9420800,0.00274734,1.7766,1.7604,0.2198
1200,145.2,9830400,0.00272103,1.7524,1.7574,0.2118
1250,151.1,10240000,0.00269356,1.7396,1.7414,0.2055
1300,157.0,10649600,0.00266498,1.7722,1.7346,0.2308
1350,162.9,11059200,0.00263532,1.7368,1.7185,0.2222
1400,168.8,11468800,0.00260459,1.7523,1.7136,0.2126
1450,174.6,11878400,0.00257285,1.7105,1.7131,0.2103
1500,180.5,12288000,0.00254012,1.6707,1.6980,0.2059
1550,186.4,12697600,0.00250643,1.6948,1.6804,0.2059
1600,192.2,13107200,0.00247183,1.6855,1.6729,0.1982
1650,198.1,13516800,0.00243634,1.5671,1.6672,0.2116
1700,204.0,13926400,0.00240002,1.6581,1.6576,0.2042
1750,210.1,14336000,0.00236289,1.6603,1.6454,0.1986
1800,216.0,14745600,0.00232500,1.6817,1.6382,0.1953
1850,221.9,15155200,0.00228639,1.6135,1.6323,0.1910
1900,227.8,15564800,0.00224709,1.6108,1.6288,0.1957
1950,233.6,15974400,0.00220715,1.6291,1.6195,0.2100
2000,239.5,16384000,0.00216662,1.5625,1.6083,0.1959
2050,245.4,16793600,0.00212554,1.6260,1.6079,0.1904
2100,251.3,17203200,0.00208394,1.5991,1.6041,0.2012
2150,257.1,17612800,0.00204188,1.5467,1.5930,0.1868
2200,263.0,18022400,0.00199941,1.5661,1.5845,0.1930
2250,268.9,18432000,0.00195655,1.6121,1.5744,0.1935
2300,274.8,18841600,0.00191337,1.6131,1.5698,0.1999
2350,280.7,19251200,0.00186991,1.5682,1.5643,0.2017
2400,286.6,19660800,0.00182621,1.5876,1.5567,0.1897
2450,292.4,20070400,0.00178232,1.5222,1.5538,0.1931
2500,298.3,20480000,0.00173829,1.5614,1.5465,0.1921
2550,304.2,20889600,0.00169417,1.5984,1.5402,0.1970
2600,310.0,21299200,0.00165000,1.5881,1.5361,0.1949
