step,grad_norm,step_time
1,1.476989,0.125136
2,1.415923,0.107594
3,1.378245,0.107292
4,1.384122,0.107632
5,1.358879,0.107234
6,1.390501,0.108098
7,1.300919,0.106949
8,1.432495,0.107334
9,1.283718,0.108182
10,1.217993,0.107124
11,1.148468,0.106763
12,1.060040,0.106528
13,1.373186,0.107972
14,1.233518,0.107069
15,0.986730,0.108358
16,1.001249,0.108044
17,1.093931,0.107330
18,1.047288,0.107582
19,0.917627,0.107061
20,0.902599,0.107694
21,0.854499,0.107501
22,0.739067,0.107444
23,0.705488,0.106659
24,0.724136,0.107240
25,0.726248,0.107317
26,0.650553,0.106308
27,0.640954,0.107555
28,0.645021,0.106892
29,0.597841,0.107216
30,0.603224,0.107398
31,0.627341,0.108526
32,0.586329,0.106840
33,0.569224,0.107643
34,0.608807,0.107064
35,0.561281,0.106763
36,0.600512,0.107474
37,0.578393,0.107053
38,0.545506,0.107344
39,0.558236,0.107319
40,0.558742,0.107395
41,0.538302,0.106737
42,0.575345,0.108434
43,0.552193,0.107419
44,0.506733,0.107256
45,0.620568,0.107020
46,0.549506,0.107955
47,0.524873,0.106796
48,0.570307,0.106329
49,0.493138,0.106925
50,0.528131,0.107294
51,0.522259,0.108085
52,0.551760,0.106972
53,0.526286,0.107203
54,0.618346,0.107863
55,0.498167,0.107291
56,0.628875,0.107308
57,0.532611,0.107325
58,0.506940,0.106839
59,0.593008,0.108012
60,0.527723,0.108070
61,0.475661,0.106034
62,0.588532,0.107062
63,0.565326,0.108988
64,0.536615,0.107912
65,0.519407,0.107872
66,0.493222,0.107665
67,0.491099,0.108286
68,0.528344,0.109581
69,0.510032,0.108625
70,0.492326,0.108466
71,0.534640,0.108195
72,0.476360,0.108484
73,0.546078,0.108854
74,0.501794,0.108338
75,0.542326,0.107806
76,0.505800,0.108071
77,0.502959,0.108531
78,0.470045,0.109340
79,0.476859,0.108532
80,0.542243,0.108297
81,0.506039,0.108047
82,0.517379,0.107837
83,0.523613,0.107611
84,0.486095,0.107003
85,0.460668,0.107240
86,0.515204,0.107746
87,0.529783,0.107944
88,0.641397,0.108464
89,0.690135,0.107506
90,0.508499,0.108429
91,0.604281,0.108632
92,0.527949,0.108437
93,0.659138,0.107130
94,0.507668,0.108044
95,0.574571,0.108569
96,0.477036,0.107379
97,0.494383,0.108317
98,0.475058,0.108276
99,0.494676,0.108162
100,0.459006,0.108862
101,0.519714,0.108732
102,0.487758,0.106998
103,0.477525,0.107605
104,0.560203,0.109399
105,0.497291,0.108890
106,0.501705,0.108653
107,0.472798,0.108307
108,0.512065,0.108103
109,0.497735,0.107707
110,0.498939,0.107439
111,0.500583,0.108249
112,0.482887,0.108584
113,0.516474,0.108314
114,0.489522,0.107261
115,0.510429,0.107565
116,0.483739,0.108422
117,0.596283,0.108005
118,0.496908,0.107244
119,0.519123,0.107891
120,0.544727,0.108428
121,0.471445,0.108469
122,0.465799,0.108580
123,0.449445,0.108297
124,0.486173,0.107562
125,0.490748,0.106920
126,0.503131,0.107290
127,0.564378,0.108451
128,0.491635,0.108331
129,0.676457,0.108300
130,0.513093,0.108358
131,0.562224,0.107183
132,0.502005,0.108100
133,0.546714,0.108191
